,Candidat,Circ,Departement,Parti,Score
0,Jean-François Debat,1.0,-circonscription-ain,Parti socialiste,"38,92%"
1,Xavier Breton,1.0,-circonscription-ain,UMP,"37,65%"
2,Clément Perrin,1.0,-circonscription-ain,Rassemblement bleu Marine,"15,49%"
3,Sébastien Boileau,1.0,-circonscription-ain,Front de gauche,"3,23%"
4,Nadia Allouache,1.0,-circonscription-ain,EELV,"2,47%"
5,Grégory Baudoin,1.0,-circonscription-ain,Debout la République,"0,63%"
6,Muriel Van der Vossen,1.0,-circonscription-ain,Alliance écologiste indépendante,"0,48%"
7,Jacques Fléchon,1.0,-circonscription-ain,MPF,"0,47%"
8,Carole Guénard-Gerbaud,1.0,-circonscription-ain,NPA,"0,36%"
9,Maude Lépagnot,1.0,-circonscription-ain,Lutte ouvrière,"0,30%"
10,Charles de la Verpillière,2.0,-circonscription-ain,UMP,"37,26%"
11,Michel Raymond,2.0,-circonscription-ain,Divers gauche,"23,07%"
12,Olivier Eyraud,2.0,-circonscription-ain,Rassemblement bleu Marine,"21,12%"
13,Paul Vernay,2.0,-circonscription-ain,EELV,"10,11%"
14,Katia Philippe,2.0,-circonscription-ain,Front de gauche,"4,29%"
15,Marie Jeanne Béguet,2.0,-circonscription-ain,Le Centre pour la France,"2,75%"
16,Claire Darmedru,2.0,-circonscription-ain,Alliance écologiste indépendante,"0,96%"
17,Vincent Goutagny,2.0,-circonscription-ain,Lutte ouvrière,"0,43%"
18,Etienne Blanc,3.0,-circonscription-ain,UMP,"41,55%"
19,Jean-Marc Fognini,3.0,-circonscription-ain,Parti socialiste,"32,68%"
20,Gaëtan Noblet,3.0,-circonscription-ain,Rassemblement bleu Marine,"13,54%"
21,Christine Franquet,3.0,-circonscription-ain,EELV,"4,86%"
22,Yves Thoumine,3.0,-circonscription-ain,Front de gauche,"4,36%"
23,Delphine Rochet,3.0,-circonscription-ain,Debout la République,"1,56%"
24,Sylvie Vermeulen,3.0,-circonscription-ain,Alliance écologiste indépendante,"1,02%"
25,Eric Lahy,3.0,-circonscription-ain,Lutte ouvrière,"0,43%"
26,Michel Voisin,4.0,-circonscription-ain,UMP,"40,73%"
27,Guillaume Lacroix,4.0,-circonscription-ain,Parti radical de gauche,"31,32%"
28,Corinne Mossire,4.0,-circonscription-ain,Rassemblement bleu Marine,"19,07%"
29,Daniel Blatrix,4.0,-circonscription-ain,Front de gauche,"3,17%"
30,Nicolas Zielinski,4.0,-circonscription-ain,EELV,"3,09%"
31,Michèle Vianès,4.0,-circonscription-ain,Debout la République,"1,29%"
32,Laurence Mayer,4.0,-circonscription-ain,Alliance écologiste indépendante,"0,61%"
33,Jean-François Mortel,4.0,-circonscription-ain,NPA,"0,39%"
34,Electre Dracos,4.0,-circonscription-ain,Lutte ouvrière,"0,33%"
35,Damien Abad,5.0,-circonscription-ain,UMP,"31,81%"
36,Josiane Exposito,5.0,-circonscription-ain,Parti socialiste,"28,51%"
37,Patrick Sokolowski,5.0,-circonscription-ain,Rassemblement bleu Marine,"17,99%"
38,Michel Perraud,5.0,-circonscription-ain,Parti radical valoisien,"9,49%"
39,Mylène Ferri,5.0,-circonscription-ain,Front de gauche,"7,32%"
40,Jean Galienne,5.0,-circonscription-ain,MHAN,"1,07%"
41,Brigitte Sansano,5.0,-circonscription-ain,Debout la République,"0,73%"
42,Patrick Royer,5.0,-circonscription-ain,MEI,"0,72%"
43,Bernard Favre,5.0,-circonscription-ain,Alliance écologiste indépendante,"0,56%"
44,Jean-Michel Boulmé,5.0,-circonscription-ain,Parti ouvrier indépendant,"0,53%"
45,Christophe Céréséro-Lanes,5.0,-circonscription-ain,NPA,"0,44%"
46,Bernard Léger,5.0,-circonscription-ain,MPF,"0,42%"
47,Guy Largeron,5.0,-circonscription-ain,Lutte ouvrière,"0,40%"
48,René Dosière,1.0,-circonscription-aisne,Divers gauche,"29,11%"
49,Aude Bono,1.0,-circonscription-aisne,Nouveau centre,"26,49%"
50,Fawaz Karimet,1.0,-circonscription-aisne,Parti socialiste,"21,47%"
51,Jean-Louis Roux,1.0,-circonscription-aisne,Rassemblement bleu Marine,"15,81%"
52,Claudine Brunet,1.0,-circonscription-aisne,Front de gauche,"3,82%"
53,Claire Bril,1.0,-circonscription-aisne,MEI,"0,78%"
54,Marie-Paule Gosset,1.0,-circonscription-aisne,Debout la République,"0,72%"
55,Jean-Loup Pernelle,1.0,-circonscription-aisne,Lutte ouvrière,"0,67%"
56,Carole Philippot,1.0,-circonscription-aisne,Alliance écologiste indépendante,"0,62%"
57,Damien Peiffer,1.0,-circonscription-aisne,Parti libéral démocrate,"0,52%"
58,Xavier Bertrand,2.0,-circonscription-aisne,UMP,"38,89%"
