,Candidat,Circ,Departement,Parti,Score
59,Anne Ferreira,2.0,-circonscription-aisne,Parti socialiste,"35,47%"
60,Yannick Lejeune,2.0,-circonscription-aisne,Rassemblement bleu Marine,"16,29%"
61,Guy Fontaine,2.0,-circonscription-aisne,Front de gauche,"4,74%"
62,Paul Gironde,2.0,-circonscription-aisne,Le Centre pour la France,"1,39%"
63,Michel Aurigny,2.0,-circonscription-aisne,Parti ouvrier indépendant,"0,66%"
64,Jean-Thierry Gampert,2.0,-circonscription-aisne,Parti de la France,"0,62%"
65,Anne Zanditenas,2.0,-circonscription-aisne,Lutte ouvrière,"0,54%"
66,Sylvie Glinatsis,2.0,-circonscription-aisne,MEI,"0,50%"
67,Guillaume Buil,2.0,-circonscription-aisne,Alliance écologiste indépendante,"0,50%"
68,Antonio Ribeiro,2.0,-circonscription-aisne,La gauche moderne,"0,40%"
69,Jean-Louis Bricout,3.0,-circonscription-aisne,Parti socialiste,"41,10%"
70,Frédéric Meura,3.0,-circonscription-aisne,UMP,"32,04%"
71,Bertrand Dutheil de la Rochère,3.0,-circonscription-aisne,Rassemblement bleu Marine,"16,30%"
72,Régis Lecoyer,3.0,-circonscription-aisne,Front de gauche,"4,65%"
73,Pierre Chabot,3.0,-circonscription-aisne,Parti de la France,"1,53%"
74,France Savelli,3.0,-circonscription-aisne,Parti radical valoisien,"1,32%"
75,Jean-Pierre Vitu,3.0,-circonscription-aisne,Lutte ouvrière,"0,93%"
76,Didier Colpin,3.0,-circonscription-aisne,République solidaire,"0,87%"
77,Jean-Claude Pagniez,3.0,-circonscription-aisne,Debout la République,"0,81%"
78,Joël Pichonnier,3.0,-circonscription-aisne,La gauche moderne,"0,46%"
79,Isabelle Létrillart,4.0,-circonscription-aisne,MPF,"24,31%"
80,Marie-Françoise Bechtel,4.0,-circonscription-aisne,MRC,"23,37%"
81,Evelyne Ruelle,4.0,-circonscription-aisne,Rassemblement bleu Marine,"18,70%"
82,Jean-Luc Lanouilh,4.0,-circonscription-aisne,Front de gauche,"17,31%"
83,Frédéric Alliot,4.0,-circonscription-aisne,Parti radical de gauche,"9,50%"
84,Charles-Edouard Lauriston,4.0,-circonscription-aisne,Parti radical valoisien,"2,07%"
85,Stéphanie Lebée,4.0,-circonscription-aisne,EELV,"1,69%"
86,Martine Lehideux,4.0,-circonscription-aisne,Parti de la France,"0,96%"
87,Michelle Sapori,4.0,-circonscription-aisne,Debout la République,"0,82%"
88,Laetitia Voisin,4.0,-circonscription-aisne,Lutte ouvrière,"0,65%"
89,Barbara Knockaert,4.0,-circonscription-aisne,NPA,"0,62%"
90,Isabelle Vasseur,5.0,-circonscription-aisne,UMP,"31,22%"
91,Jacques Krabal,5.0,-circonscription-aisne,Parti radical de gauche,"29,79%"
92,Franck Briffaut,5.0,-circonscription-aisne,Rassemblement bleu Marine,"22,74%"
93,Dominique Jourdain,5.0,-circonscription-aisne,EELV,"9,79%"
94,Mireille Ausecache,5.0,-circonscription-aisne,Front de gauche,"4,46%"
95,Sylvie Géret,5.0,-circonscription-aisne,Lutte ouvrière,"1,03%"
96,Jean-Claude Poiret,5.0,-circonscription-aisne,Debout la République,"0,98%"
97,Guy Chambefort,1.0,-circonscription-allier,Parti socialiste,"38,17%"
98,Pierre-André Périssol,1.0,-circonscription-allier,UMP,"33,36%"
99,Marie-Françoise Lacarin,1.0,-circonscription-allier,Front de gauche,"14,67%"
100,Yves Lecrique,1.0,-circonscription-allier,Rassemblement bleu Marine,"9,67%"
101,Gérard Matichard,1.0,-circonscription-allier,EELV,"2,36%"
102,Gérard Guillaumin,1.0,-circonscription-allier,Le Trèfle,"0,99%"
103,Bernard Lebel,1.0,-circonscription-allier,Lutte ouvrière,"0,78%"
104,Bernard Lesterlin,2.0,-circonscription-allier,Parti socialiste,"36,51%"
105,Daniel Dugléry,2.0,-circonscription-allier,UMP,"30,99%"
106,Luc Bourduge,2.0,-circonscription-allier,Front de gauche,"16,18%"
107,Pascal Courty,2.0,-circonscription-allier,Rassemblement bleu Marine,"10,05%"
108,Marie Couval,2.0,-circonscription-allier,EELV,"2,07%"
109,Bernard Taillandier,2.0,-circonscription-allier,Debout la République,"1,57%"
110,Jean-Marie Guillaumin,2.0,-circonscription-allier,Le Trèfle,"0,98%"
111,René Casilla,2.0,-circonscription-allier,NPA,"0,76%"
112,Véronique Dreyfus,2.0,-circonscription-allier,Lutte ouvrière,"0,65%"
113,Jean-Paul Moret,2.0,-circonscription-allier,Parti ouvrier indépendant,"0,23%"
114,Gérard Charasse,3.0,-circonscription-allier,Parti radical de gauche,"42,51%"
115,Claude Malhuret,3.0,-circonscription-allier,UMP,"32,38%"
116,Claudine Lopez,3.0,-circonscription-allier,Rassemblement bleu Marine,"13,64%"
117,Pascale Semet,3.0,-circonscription-allier,Front de gauche,"5,63%"
118,Anne Babian-Lhermet,3.0,-circonscription-allier,EELV,"1,92%"
119,Sylvie Rasile,3.0,-circonscription-allier,Le Centre pour la France,"1,26%"
120,Pascal Javerliat,3.0,-circonscription-allier,Parti radical valoisien,"0,69%"
121,Patrice Rucar,3.0,-circonscription-allier,Le Trèfle,"0,65%"
122,Jean-Marc Carcassin,3.0,-circonscription-allier,Nouveau centre,"0,58%"
123,Monique Roche,3.0,-circonscription-allier,Lutte ouvrière,"0,44%"
124,Renaud Siry,3.0,-circonscription-allier,Alliance écologiste indépendante,"0,30%"
125,Gilbert Sauvan,1.0,-circonscription-alpes-de-haute-provence,Parti socialiste,"33,04%"
126,Eliane Barreille,1.0,-circonscription-alpes-de-haute-provence,UMP,"23,68%"
127,Ghislaine Aubert,1.0,-circonscription-alpes-de-haute-provence,Rassemblement bleu Marine,"16,57%"
128,Jean-Louis Pin,1.0,-circonscription-alpes-de-haute-provence,Front de gauche,"9,83%"
129,Gérard de Meester,1.0,-circonscription-alpes-de-haute-provence,EELV,"8,11%"
130,Marie-Anne Baudoui-Maurel,1.0,-circonscription-alpes-de-haute-provence,Divers droite,"3,19%"
131,Daniel Ragolski,1.0,-circonscription-alpes-de-haute-provence,Alliance écologiste indépendante,"1,86%"
132,Frédéric Santiago,1.0,-circonscription-alpes-de-haute-provence,Le Centre pour la France,"1,52%"
133,Hubert Cabassut,1.0,-circonscription-alpes-de-haute-provence,MRC,"0,75%"
134,Caroline Alonso,1.0,-circonscription-alpes-de-haute-provence,Lutte ouvrière,"0,52%"
135,Joëlle Tebar,1.0,-circonscription-alpes-de-haute-provence,Nouveau centre,"0,48%"
136,Mireille Carle,1.0,-circonscription-alpes-de-haute-provence,NPA,"0,46%"
137,Ludivine Evano,1.0,-circonscription-alpes-de-haute-provence,Debout la République,"0,00%"
138,Christophe Castaner,2.0,-circonscription-alpes-de-haute-provence,Parti socialiste,"35,76%"
139,Jean-Claude Castel,2.0,-circonscription-alpes-de-haute-provence,UMP,"29,77%"
140,Jean-Claude Diedrich,2.0,-circonscription-alpes-de-haute-provence,Rassemblement bleu Marine,"15,25%"
141,Martine Carriol,2.0,-circonscription-alpes-de-haute-provence,Front de gauche,"9,37%"
142,Catherine Berthonnèche,2.0,-circonscription-alpes-de-haute-provence,EELV,"4,39%"
143,Isabelle Verschueren,2.0,-circonscription-alpes-de-haute-provence,Le Centre pour la France,"1,62%"
144,Yamina Guebli,2.0,-circonscription-alpes-de-haute-provence,Alliance écologiste indépendante,"0,84%"
145,Bruno Morin,2.0,-circonscription-alpes-de-haute-provence,Nouveau centre,"0,82%"
146,Noël Chuisano,2.0,-circonscription-alpes-de-haute-provence,Debout la République,"0,81%"
147,Jean-Michel Rovida,2.0,-circonscription-alpes-de-haute-provence,Alliance centriste,"0,57%"
148,Brigitte Picard,2.0,-circonscription-alpes-de-haute-provence,NPA,"0,46%"
149,Cyril Belmonte,2.0,-circonscription-alpes-de-haute-provence,Lutte ouvrière,"0,36%"
150,Karine Berger,1.0,-circonscription-hautes-alpes,Parti socialiste,"29,92%"
151,Jean Cointe,1.0,-circonscription-hautes-alpes,UMP,"27,05%"
152,Elodie Monier,1.0,-circonscription-hautes-alpes,Rassemblement bleu Marine,"14,69%"
153,Guy Blanc,1.0,-circonscription-hautes-alpes,Divers gauche,"10,73%"
154,Jean-Claude Eyraud,1.0,-circonscription-hautes-alpes,Front de gauche,"10,00%"
155,Bernard Derbez,1.0,-circonscription-hautes-alpes,EELV,"3,86%"
156,Thierry Pajot,1.0,-circonscription-hautes-alpes,Le Centre pour la France,"1,85%"
157,Danielle Fay,1.0,-circonscription-hautes-alpes,Debout la République,"0,78%"
158,Guy Hadji,1.0,-circonscription-hautes-alpes,Alliance écologiste indépendante,"0,45%"
159,Jacques Daudon,1.0,-circonscription-hautes-alpes,Rassemblement d,"0,36%"
160,Fabrice Rosay,1.0,-circonscription-hautes-alpes,Lutte ouvrière,"0,31%"
161,Joël Giraud,2.0,-circonscription-hautes-alpes,Parti radical de gauche,"43,00%"
162,Chantal Eyméoud,2.0,-circonscription-hautes-alpes,Nouveau centre,"33,59%"
163,Sophie Briand,2.0,-circonscription-hautes-alpes,Rassemblement bleu Marine,"10,06%"
164,Catherine Guigli,2.0,-circonscription-hautes-alpes,Front de gauche,"5,39%"
165,Francine Daerden,2.0,-circonscription-hautes-alpes,EELV,"5,36%"
166,Sandrine Faidy,2.0,-circonscription-hautes-alpes,Debout la République,"0,89%"
167,Monique Perrin-Czekalski,2.0,-circonscription-hautes-alpes,Alliance écologiste indépendante,"0,82%"
168,Michel Ben-Haim,2.0,-circonscription-hautes-alpes,Sans étiquette,"0,50%"
169,Véronique Buisson,2.0,-circonscription-hautes-alpes,Lutte ouvrière,"0,41%"
170,Eric Ciotti,1.0,-circonscription-alpes-maritimes,UMP,"43,89%"
171,Patrick Allemand,1.0,-circonscription-alpes-maritimes,Parti socialiste,"28,68%"
172,Jacques Peyrat,1.0,-circonscription-alpes-maritimes,"
									Entente républicaine									","16,16%"
173,Robert Injey,1.0,-circonscription-alpes-maritimes,Front de gauche,"4,58%"
174,Christian Razeau,1.0,-circonscription-alpes-maritimes,Le Centre pour la France,"1,43%"
175,Pierre Argentieri,1.0,-circonscription-alpes-maritimes,Le Parti de la France,"1,11%"
176,Maryse Ullmann,1.0,-circonscription-alpes-maritimes,MHAN,"1,09%"
177,Jean-Marc Governatori,1.0,-circonscription-alpes-maritimes,Alliance écologiste indépendante,"0,71%"
178,Loïc Fortuit,1.0,-circonscription-alpes-maritimes,NPA,"0,67%"
179,Jean-Paul Belhadi,1.0,-circonscription-alpes-maritimes,Debout la République,"0,53%"
180,Michel Cotta,1.0,-circonscription-alpes-maritimes,"
									Ligue républicaine									","0,47%"
181,Christophe Ricerchi,1.0,-circonscription-alpes-maritimes,Communistes,"0,30%"
182,Agnès Benkemoun,1.0,-circonscription-alpes-maritimes,Lutte ouvrière,"0,19%"
183,Alix Horsch-Filippi,1.0,-circonscription-alpes-maritimes,Femu a Corsica,"0,18%"
184,Jean-Pierre Gastaud,1.0,-circonscription-alpes-maritimes,"
									Valeurs et idées citoyennes									","0,04%"
185,Charles-Ange Ginésy,2.0,-circonscription-alpes-maritimes,UMP,"35,78%"
186,André Aschieri,2.0,-circonscription-alpes-maritimes,EELV,"28,72%"
187,Jean-Marc Degioanni,2.0,-circonscription-alpes-maritimes,Rassemblement bleu Marine,"21,06%"
188,Fabrice Lachenmaier,2.0,-circonscription-alpes-maritimes,Parti radical de gauche,"7,04%"
189,Frédérique Cattaert,2.0,-circonscription-alpes-maritimes,Front de gauche,"4,11%"
190,Patrice Miran,2.0,-circonscription-alpes-maritimes,Alliance écologiste indépendante,"1,36%"
191,Brigitte Reynard,2.0,-circonscription-alpes-maritimes,MHAN,"1,25%"
192,Michelle Paulus,2.0,-circonscription-alpes-maritimes,Communistes,"0,38%"
193,Alain Bouilleaux,2.0,-circonscription-alpes-maritimes,Lutte ouvrière,"0,30%"
194,Rudy Salles,3.0,-circonscription-alpes-maritimes,Nouveau centre,"36,80%"
195,Christine Doréjo,3.0,-circonscription-alpes-maritimes,Parti socialiste,"23,01%"
196,Gaël Nofri,3.0,-circonscription-alpes-maritimes,Rassemblement bleu Marine,"22,75%"
197,Roselyne Grac,3.0,-circonscription-alpes-maritimes,Front de gauche,"5,01%"
198,Jean-Christophe Picard,3.0,-circonscription-alpes-maritimes,Parti radical de gauche,"4,29%"
199,Marouane Bouloudhnine,3.0,-circonscription-alpes-maritimes,Le Centre pour la France,"1,76%"
200,Marie-José Vallade,3.0,-circonscription-alpes-maritimes,MHAN,"1,18%"
201,Bruno Della Sudda,3.0,-circonscription-alpes-maritimes,Les alternatifs,"1,09%"
202,Marie-Edith Cattet,3.0,-circonscription-alpes-maritimes,Parti de la France,"0,82%"
203,Delphine Delétang,3.0,-circonscription-alpes-maritimes,Alliance écologiste indépendante,"0,71%"
204,Sylvain Maillot,3.0,-circonscription-alpes-maritimes,Parti pirate,"0,52%"
205,Didier Burdin,3.0,-circonscription-alpes-maritimes,Debout la République,"0,49%"
206,Patrick Monica,3.0,-circonscription-alpes-maritimes,Parti chrétien démocrate,"0,46%"
207,Laurent Bacino,3.0,-circonscription-alpes-maritimes,Communistes,"0,35%"
208,Denis Roos,3.0,-circonscription-alpes-maritimes,"
									Terroirs Nice Vallées 									","0,30%"
209,Igor Kurek,3.0,-circonscription-alpes-maritimes,RPF,"0,26%"
210,Marie-Josée Pereira,3.0,-circonscription-alpes-maritimes,Lutte ouvrière,"0,17%"
211,Jean-Claude Guibal,4.0,-circonscription-alpes-maritimes,UMP,"32,70%"
212,Lydia Schénardi,4.0,-circonscription-alpes-maritimes,Rassemblement bleu Marine,"22,90%"
213,Pascale Gérard,4.0,-circonscription-alpes-maritimes,Parti socialiste,"19,79%"
214,Francis Tujague,4.0,-circonscription-alpes-maritimes,Front de gauche,"10,18%"
215,Stéphane Cherki,4.0,-circonscription-alpes-maritimes,Divers droite,"9,63%"
216,Thierry Giorgio,4.0,-circonscription-alpes-maritimes,Debout la République,"1,48%"
217,Jean Philippe Secordel-Martin,4.0,-circonscription-alpes-maritimes,MHAN,"1,26%"
218,Lucien Bella,4.0,-circonscription-alpes-maritimes,Alliance écologiste indépendante,"1,05%"
219,Nicolas Zahar,4.0,-circonscription-alpes-maritimes,"
									Union de la Droite Nationale et Catholique 									","0,75%"
220,Joseph Markiel,4.0,-circonscription-alpes-maritimes,Lutte ouvrière,"0,26%"
221,Christian Estrosi,5.0,-circonscription-alpes-maritimes,UMP,"44,23%"
222,Paul Cuturello,5.0,-circonscription-alpes-maritimes,Parti socialiste,"25,18%"
223,Danielle Cardin,5.0,-circonscription-alpes-maritimes,Rassemblement bleu Marine,"21,41%"
224,Emmanuelle Gaziello,5.0,-circonscription-alpes-maritimes,Front de gauche,"3,94%"
225,Gildas Dupré,5.0,-circonscription-alpes-maritimes,Le Centre pour la France,"1,32%"
226,Brigitte Ballouard,5.0,-circonscription-alpes-maritimes,MHAN,"1,25%"
227,Florence Ciaravola,5.0,-circonscription-alpes-maritimes,Les alternatifs,"0,96%"
228,Axel Hvidsten,5.0,-circonscription-alpes-maritimes,Alliance écologiste indépendante,"0,68%"
229,Anthony Mitrano,5.0,-circonscription-alpes-maritimes,Debout la République,"0,62%"
230,Jean-Pierre Pisoni,5.0,-circonscription-alpes-maritimes,Communistes,"0,27%"
231,Jean-Marie Alexandre,5.0,-circonscription-alpes-maritimes,Lutte ouvrière,"0,15%"
232,Lionnel Luca,6.0,-circonscription-alpes-maritimes,UMP,"51,44%"
233,Sylvie Gautier,6.0,-circonscription-alpes-maritimes,Parti socialiste,"22,28%"
234,Hubert de Mesmay,6.0,-circonscription-alpes-maritimes,Rassemblement bleu Marine,"20,10%"
235,Philippe Gandin,6.0,-circonscription-alpes-maritimes,Front de gauche,"3,44%"
236,Oonagh Weldon,6.0,-circonscription-alpes-maritimes,Alliance écologiste indépendante,"1,85%"
237,Jean-Louis Paulus,6.0,-circonscription-alpes-maritimes,Communistes,"0,46%"
238,Danièle Bartoli,6.0,-circonscription-alpes-maritimes,Lutte ouvrière,"0,22%"
239,Paul Favale,6.0,-circonscription-alpes-maritimes,Parti ouvrier indépendant,"0,20%"
240,Jean Léonetti,7.0,-circonscription-alpes-maritimes,Parti radical valoisien,"51,10%"
241,Eric Martin,7.0,-circonscription-alpes-maritimes,MRC,"21,24%"
242,Mathilde Viot,7.0,-circonscription-alpes-maritimes,Rassemblement bleu Marine,"16,89%"
243,Cécile Dumas,7.0,-circonscription-alpes-maritimes,Front de gauche,"4,62%"
244,Maurice Gillard,7.0,-circonscription-alpes-maritimes,Alliance écologiste indépendante,"2,18%"
245,Philippe Carenzo,7.0,-circonscription-alpes-maritimes,NPA,"1,58%"
246,Jean-Claude Frappa,7.0,-circonscription-alpes-maritimes,Parti de la France,"1,16%"
247,Jean Bruno Tondini,7.0,-circonscription-alpes-maritimes,Debout la République,"0,87%"
248,Christian Pétard,7.0,-circonscription-alpes-maritimes,Lutte ouvrière,"0,35%"
249,Bernard Brochand,8.0,-circonscription-alpes-maritimes,UMP,"47,78%"
250,Adrien Grosjean,8.0,-circonscription-alpes-maritimes,Rassemblement bleu Marine,"23,71%"
251,Elisabeth Deborde,8.0,-circonscription-alpes-maritimes,EELV,"21,13%"
252,Sylvie Rolly,8.0,-circonscription-alpes-maritimes,Front de gauche,"3,16%"
253,Serge Gardien,8.0,-circonscription-alpes-maritimes,MHAN,"1,67%"
254,Marlène Poirier,8.0,-circonscription-alpes-maritimes,Debout la République,"1,30%"
255,Jean-Pierre Villon,8.0,-circonscription-alpes-maritimes,Alliance écologiste indépendante,"0,90%"
256,Liliane Pecout,8.0,-circonscription-alpes-maritimes,Lutte ouvrière,"0,36%"
257,Michèle Tabarot,9.0,-circonscription-alpes-maritimes,UMP,"47,32%"
258,Marie-Louise Gourdon,9.0,-circonscription-alpes-maritimes,Parti socialiste,"28,59%"
259,Marlène Orfila,9.0,-circonscription-alpes-maritimes,Rassemblement bleu Marine,"17,43%"
260,Pierre Bernasconi,9.0,-circonscription-alpes-maritimes,Front de gauche,"3,99%"
261,Pascal Ducreux,9.0,-circonscription-alpes-maritimes,MHAN,"1,41%"
262,Haydée Muller,9.0,-circonscription-alpes-maritimes,Alliance écologiste indépendante,"0,78%"
263,Robert Giardina,9.0,-circonscription-alpes-maritimes,Lutte ouvrière,"0,28%"
264,Laurent de Vargas,9.0,-circonscription-alpes-maritimes,Alliance royale,"0,21%"
265,Pascal Terrasse,1.0,-circonscription-ardeche,Parti socialiste,"45,13%"
266,Christian Grangis,1.0,-circonscription-ardeche,Rassemblement bleu Marine,"20,20%"
267,Guérin de Longevialle,1.0,-circonscription-ardeche,Parti chrétien démocrate,"15,60%"
268,François Jacquart,1.0,-circonscription-ardeche,Front de gauche,"9,45%"
269,Stéphane Oriol,1.0,-circonscription-ardeche,EELV,"4,50%"
270,André Dupont,1.0,-circonscription-ardeche,Le Centre pour la France,"3,11%"
271,Gilles Bas,1.0,-circonscription-ardeche,Alliance écologiste indépendante,"0,86%"
272,Patricia Soncini-Syren,1.0,-circonscription-ardeche,NPA,"0,65%"
273,Muriel Vander Donckt,1.0,-circonscription-ardeche,Lutte ouvrière,"0,50%"
274,François Martigny,1.0,-circonscription-ardeche,Rassemblement d,"0,00%"
275,Olivier Dussopt,2.0,-circonscription-ardeche,Parti socialiste,"40,29%"
276,Mathieu Darnaud,2.0,-circonscription-ardeche,UMP,"33,88%"
277,Véronique Gathercole,2.0,-circonscription-ardeche,Rassemblement bleu Marine,"13,50%"
278,Myriam Normand,2.0,-circonscription-ardeche,Front de gauche,"4,22%"
279,Justine Arnaud,2.0,-circonscription-ardeche,EELV,"3,40%"
280,Claude Escande,2.0,-circonscription-ardeche,Le Centre pour la France,"1,69%"
281,Raphaël Nogier,2.0,-circonscription-ardeche,Divers droite,"0,67%"
282,Brigitte Tussau,2.0,-circonscription-ardeche,Le Trèfle,"0,61%"
283,Anne-Laure Le Grand,2.0,-circonscription-ardeche,Debout la République,"0,56%"
284,Pascal Guion,2.0,-circonscription-ardeche,Mouvement des objecteurs de croissance,"0,48%"
285,Jackie Durand,2.0,-circonscription-ardeche,Alliance écologiste indépendante,"0,37%"
286,Christophe Marchisio,2.0,-circonscription-ardeche,Lutte ouvrière,"0,32%"
287,Gabriel Bardonnet,2.0,-circonscription-ardeche,Rassemblement d,"0,00%"
288,Jean-Claude Flory,3.0,-circonscription-ardeche,UMP,"37,22%"
289,Sabine Buis,3.0,-circonscription-ardeche,Parti socialiste,"33,26%"
290,Isabelle Ciet,3.0,-circonscription-ardeche,Rassemblement bleu Marine,"11,72%"
291,Véronique Louis,3.0,-circonscription-ardeche,Front de gauche,"9,16%"
292,Magalie Margotton,3.0,-circonscription-ardeche,EELV,"5,10%"
293,Roger Kappel,3.0,-circonscription-ardeche,Le Centre pour la France,"1,19%"
294,Richard Neuville,3.0,-circonscription-ardeche,Les alternatifs,"0,96%"
295,Alain Chalvet,3.0,-circonscription-ardeche,Debout la République,"0,55%"
296,Michel Sabatier,3.0,-circonscription-ardeche,Parti ouvrier indépendant,"0,51%"
297,Béatrice Cauvin,3.0,-circonscription-ardeche,Lutte ouvrière,"0,33%"
298,Bérengère Poletti,1.0,-circonscription-ardennes,UMP,"39,56%"
299,Claudine Ledoux,1.0,-circonscription-ardennes,Parti socialiste,"33,83%"
300,Anne-Sophie Leclère,1.0,-circonscription-ardennes,Rassemblement bleu Marine,"16,76%"
301,Sylvain Dalla Rosa,1.0,-circonscription-ardennes,Front de gauche,"4,77%"
302,Christophe Dumont,1.0,-circonscription-ardennes,EELV,"1,89%"
303,Virginie Lauby Heber-Suffrin,1.0,-circonscription-ardennes,Le Centre pour la France,"1,85%"
304,Joël Nouet,1.0,-circonscription-ardennes,Lutte ouvrière,"0,51%"
305,Sylvie Goulden,1.0,-circonscription-ardennes,Alliance écologiste indépendante,"0,45%"
306,Christiane Gey,1.0,-circonscription-ardennes,Debout la République,"0,37%"
307,Christophe Léonard,2.0,-circonscription-ardennes,Parti socialiste,"30,41%"
308,Boris Ravignon,2.0,-circonscription-ardennes,UMP,"29,80%"
309,Benoît Girard,2.0,-circonscription-ardennes,Rassemblement bleu Marine,"16,20%"
310,Philippe Vuilque,2.0,-circonscription-ardennes,Divers gauche,"13,56%"
311,Michèle Leflon,2.0,-circonscription-ardennes,Front de gauche,"5,50%"
312,Sylvain Baumel,2.0,-circonscription-ardennes,EELV,"2,05%"
313,Alain Sutter,2.0,-circonscription-ardennes,Nouveau centre,"1,08%"
314,Mink Takawe,2.0,-circonscription-ardennes,Lutte ouvrière,"0,50%"
315,Jean Pierrard,2.0,-circonscription-ardennes,Alliance écologiste indépendante,"0,45%"
316,Claire Combis,2.0,-circonscription-ardennes,Parti radical valoisien,"0,44%"
317,Jean-Luc Warsmann,3.0,-circonscription-ardennes,UMP,"52,50%"
318,Nelly Fesseau,3.0,-circonscription-ardennes,Parti socialiste,"29,38%"
319,Laurent Guilbert,3.0,-circonscription-ardennes,Rassemblement bleu Marine,"11,63%"
320,Claudette Moraine,3.0,-circonscription-ardennes,Front de gauche,"3,40%"
