,Candidat,Circ,Departement,Parti,Score
50,Michel Froissart,2.0,-circonscription-aisne,"
									LDI-CNIP									","2,26%"
51,Bernard Roger,2.0,-circonscription-aisne,Parti des travailleurs,"1,93%"
52,Jean-Pierre Balligand,3.0,-circonscription-aisne,PS,"46,07%"
53,Dominique Moyse,3.0,-circonscription-aisne,UDF,"17,96%"
54,Jacques de la Fontaine,3.0,-circonscription-aisne,FN,"15,12%"
55,Marcel Patris,3.0,-circonscription-aisne,PCF,"7,93%"
56,Jean-Loup Pernelle,3.0,-circonscription-aisne,LO,"3,37%"
57,Patrice Lallement,3.0,-circonscription-aisne,"
									LDI-MPF									","3,08%"
58,Stéphane Bizeau,3.0,-circonscription-aisne,Génération écologie,"2,31%"
59,Claude Peronne,3.0,-circonscription-aisne,Divers droite,"2,24%"
60,José Meurice,3.0,-circonscription-aisne,Les Verts,"1,93%"
61,Emmanuelle Bouquillon,4.0,-circonscription-aisne,UDF,"26,61%"
62,Jacques Desallangre,4.0,-circonscription-aisne,Mouvement des citoyens,"26,25%"
63,Yvette Craighero,4.0,-circonscription-aisne,PS,"20,53%"
64,Wallerand de Saint-Just,4.0,-circonscription-aisne,FN,"17,53%"
65,Jean-Claude Garault,4.0,-circonscription-aisne,LO,"4,48%"
66,Martine Taupin,4.0,-circonscription-aisne,Mouvement écologiste indépendant,"2,72%"
67,Achille Prévot,4.0,-circonscription-aisne,"
									LDI-MPF									","1,88%"
68,Renaud Dutreil,5.0,-circonscription-aisne,UDF,"30,04%"
69,Dominique Jourdain,5.0,-circonscription-aisne,PS,"23,51%"
70,Colette Fecci-Pinatel,5.0,-circonscription-aisne,FN,"19,80%"
71,Gérard Lalot,5.0,-circonscription-aisne,PCF,"10,45%"
72,Christian Cabrol,5.0,-circonscription-aisne,RPR dissident,"7,08%"
73,Jean-Claude Bouché,5.0,-circonscription-aisne,LO,"4,10%"
74,Marc-Hervé Rey,5.0,-circonscription-aisne,Mouvement écologiste indépendant,"3,60%"
75,Sylvain Fourny,5.0,-circonscription-aisne,"
									US4J									","1,42%"
76,Pierre-André Périssol,1.0,-circonscription-allier,RPR,"35,84%"
77,François Colcombet,1.0,-circonscription-allier,PS,"32,37%"
78,Jean-Claude Mairal,1.0,-circonscription-allier,PCF,"16,86%"
79,Georges Dufour,1.0,-circonscription-allier,FN,"8,75%"
80,Odile Debeaud-Laforest,1.0,-circonscription-allier,Les Verts,"3,79%"
81,Martine Talon,1.0,-circonscription-allier,"
									LDI-MPF									","2,40%"
82,Pierre Goldberg,2.0,-circonscription-allier,PCF,"39,81%"
83,Jean Gravier,2.0,-circonscription-allier,UDF,"24,94%"
84,Ginette Goux,2.0,-circonscription-allier,PS,"16,44%"
85,Lucette Vuarchex,2.0,-circonscription-allier,FN,"8,99%"
86,André Gérinier,2.0,-circonscription-allier,"
									LDI-CNIP									","3,80%"
87,Jacques Missonnier,2.0,-circonscription-allier,Les Verts,"3,42%"
88,Monique Guillaumin,2.0,-circonscription-allier,Le Trèfle,"2,60%"
89,André Lajoinie,3.0,-circonscription-allier,PCF,"32,58%"
90,Bernard Coulon,3.0,-circonscription-allier,UDF,"32,00%"
91,Jean Mallot,3.0,-circonscription-allier,PS,"16,01%"
92,Alain Compagnon,3.0,-circonscription-allier,FN,"9,35%"
93,Danièle Moury,3.0,-circonscription-allier,Les Verts,"4,38%"
94,François de Vaulx,3.0,-circonscription-allier,"
									LDI-MPF									","3,36%"
95,Jacques Bernard,3.0,-circonscription-allier,Génération écologie,"2,33%"
96,Claude Malhuret,4.0,-circonscription-allier,UDF,"28,62%"
97,Gérard Charasse,4.0,-circonscription-allier,Parti radical socialiste,"27,92%"
98,Jacques Mayadoux,4.0,-circonscription-allier,FN,"16,13%"
99,René Bardet,4.0,-circonscription-allier,PCF,"15,36%"
100,Jean Quilleret,4.0,-circonscription-allier,Les Verts,"6,64%"
101,Jean-Luc Debrabant,4.0,-circonscription-allier,"
									LDI-MPF									","5,33%"
102,Jean-Louis Bianco,1.0,-circonscription-alpes-de-haute-provence,PS,"30,84%"
103,Francis Galizi,1.0,-circonscription-alpes-de-haute-provence,UDF,"30,38%"
104,Bernard Naegellen,1.0,-circonscription-alpes-de-haute-provence,FN,"14,39%"
105,Gérard Paul,1.0,-circonscription-alpes-de-haute-provence,PCF,"12,58%"
106,Pierre-Alain Cambefort,1.0,-circonscription-alpes-de-haute-provence,Mouvement écologiste indépendant,"5,28%"
107,Christine Cirgue,1.0,-circonscription-alpes-de-haute-provence,Génération écologie,"2,57%"
108,Roger Espic,1.0,-circonscription-alpes-de-haute-provence,"
									LDI-MPF									","2,37%"
109,Jean Triolet,1.0,-circonscription-alpes-de-haute-provence,"
									Les nouveaux écologistes									","0,91%"
110,Claude Roche,1.0,-circonscription-alpes-de-haute-provence,Divers gauche,"0,67%"
111,Pierre Delmar,2.0,-circonscription-alpes-de-haute-provence,RPR,"30,37%"
112,Robert Honde,2.0,-circonscription-alpes-de-haute-provence,Parti radical socialiste,"24,41%"
113,Mireille D'Ornano,2.0,-circonscription-alpes-de-haute-provence,FN,"16,62%"
114,Raymond Bressand,2.0,-circonscription-alpes-de-haute-provence,PCF,"14,13%"
115,Marie-Christine Brun-Bourlier,2.0,-circonscription-alpes-de-haute-provence,"
									LDI-MPF									","4,32%"
116,Antoine Labeyrie,2.0,-circonscription-alpes-de-haute-provence,Mouvement écologiste indépendant,"4,04%"
117,Alfred Arrazau,2.0,-circonscription-alpes-de-haute-provence,Génération écologie,"1,79%"
118,Georges Manent,2.0,-circonscription-alpes-de-haute-provence,"
									US4J									","1,64%"
119,Serge Carvou,2.0,-circonscription-alpes-de-haute-provence,"
									Les nouveaux écologistes									","1,43%"
120,Alain Morucci,2.0,-circonscription-alpes-de-haute-provence,"
									Initiative républicaine									","1,23%"
121,Henriette Martinez,1.0,-circonscription-hautes-alpes,RPR,"34,11%"
122,Daniel Chevallier,1.0,-circonscription-hautes-alpes,PS,"31,65%"
123,Michel Mattei,1.0,-circonscription-hautes-alpes,FN,"12,09%"
124,Florence Vercueil,1.0,-circonscription-hautes-alpes,PCF,"10,34%"
125,Patrick Marsauche,1.0,-circonscription-hautes-alpes,Les Verts,"5,27%"
126,Claude Arnaud,1.0,-circonscription-hautes-alpes,"
									LDI-MPF									","2,89%"
127,Lina Chelli,1.0,-circonscription-hautes-alpes,Génération écologie,"1,74%"
128,Corinne Léo,1.0,-circonscription-hautes-alpes,"
									Les nouveaux écologistes									","1,50%"
129,Daniel Masse,1.0,-circonscription-hautes-alpes,"
									Parti de la loi naturelle									","0,42%"
130,Patrick Ollier,2.0,-circonscription-hautes-alpes,RPR,"33,41%"
131,Alain Musson,2.0,-circonscription-hautes-alpes,PS,"21,19%"
132,Joël Giraud,2.0,-circonscription-hautes-alpes,Divers gauche,"16,06%"
133,Vanessa Bickers-Garcia,2.0,-circonscription-hautes-alpes,FN,"11,77%"
134,Antoine Guardabascio,2.0,-circonscription-hautes-alpes,PCF,"7,67%"
135,Hervé Gasdon,2.0,-circonscription-hautes-alpes,Les Verts,"4,91%"
136,Jean-Luc Pierre,2.0,-circonscription-hautes-alpes,"
									LDI-MPF									","2,61%"
137,Jacques Marcelli,2.0,-circonscription-hautes-alpes,Génération écologie,"1,40%"
138,Gérald Tanniou,2.0,-circonscription-hautes-alpes,"
									Les nouveaux écologistes									","0,99%"
139,Jean-Pierre Gost,1.0,-circonscription-alpes-maritimes,FN,"25,89%"
140,Charles Ehrmann,1.0,-circonscription-alpes-maritimes,UDF,"23,10%"
141,Patrick Allemand,1.0,-circonscription-alpes-maritimes,PS,"19,78%"
142,Jacques Victor,1.0,-circonscription-alpes-maritimes,PCF,"10,04%"
143,Jean-Marc Governatori,1.0,-circonscription-alpes-maritimes,Divers droite,"4,59%"
144,Jean Icart,1.0,-circonscription-alpes-maritimes,UDF dissident,"4,45%"
145,Joël Rigolat,1.0,-circonscription-alpes-maritimes,Génération écologie,"2,27%"
146,Emmanuel Guillon,1.0,-circonscription-alpes-maritimes,"
									LDI-MPF									","2,12%"
147,Nicole Schligler,1.0,-circonscription-alpes-maritimes,LO,"1,73%"
148,Anna Cangémi,1.0,-circonscription-alpes-maritimes,Mouvement écologiste indépendant,"1,63%"
149,Joëlle Vailly,1.0,-circonscription-alpes-maritimes,Convention pour une alternative progressiste,"1,34%"
150,Michel Cotta,1.0,-circonscription-alpes-maritimes,Divers,"0,94%"
151,Isabelle Sacoman,1.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","0,68%"
152,Yvon Grinda,1.0,-circonscription-alpes-maritimes,Mouvement des citoyens,"0,62%"
153,Jean Noble,1.0,-circonscription-alpes-maritimes,Initiative républicaine,"0,49%"
154,Roland Jourdan,1.0,-circonscription-alpes-maritimes,PNR,"0,32%"
155,Jacques Peyrat,2.0,-circonscription-alpes-maritimes,RPR,"35,12%"
156,Christian Desvignes,2.0,-circonscription-alpes-maritimes,FN,"22,76%"
157,Patrick Mottard,2.0,-circonscription-alpes-maritimes,PS,"21,24%"
158,Simone Monticelli,2.0,-circonscription-alpes-maritimes,PCF,"5,84%"
159,Joseph Grammatico,2.0,-circonscription-alpes-maritimes,"
									LDI-CNIP									","4,05%"
160,Jeannine Thiemonge,2.0,-circonscription-alpes-maritimes,Les Verts,"3,00%"
161,Bruno Pebeyre,2.0,-circonscription-alpes-maritimes,Divers,"2,36%"
162,Claudine Razeau,2.0,-circonscription-alpes-maritimes,Mouvement écologiste indépendant,"1,84%"
163,Rose-Marie Allégret,2.0,-circonscription-alpes-maritimes,Ecologiste,"1,12%"
164,Laurence Dangel,2.0,-circonscription-alpes-maritimes,LCR,"1,07%"
165,Joseph Ciccolini,2.0,-circonscription-alpes-maritimes,"
									Initiative républicaine									","0,82%"
166,Marc Brincat,2.0,-circonscription-alpes-maritimes,PNR,"0,61%"
167,Pierre Varennes,2.0,-circonscription-alpes-maritimes,Divers,"0,17%"
168,Rudy Salles,3.0,-circonscription-alpes-maritimes,UDF,"29,48%"
169,Jean-Pierre Schenardi,3.0,-circonscription-alpes-maritimes,FN,"25,29%"
170,Michèle Matringe,3.0,-circonscription-alpes-maritimes,PS,"18,50%"
171,Louis Broch,3.0,-circonscription-alpes-maritimes,PCF,"12,25%"
172,Jacques de Rocca Serra,3.0,-circonscription-alpes-maritimes,"
									LDI-MPF									","4,57%"
173,Brigitte Bergeron,3.0,-circonscription-alpes-maritimes,Génération écologie,"2,15%"
174,Patrice Miran,3.0,-circonscription-alpes-maritimes,Mouvement écologiste indépendant,"1,89%"
175,Lucien Recrosio,3.0,-circonscription-alpes-maritimes,Les Verts,"1,86%"
176,Hervé Cael,3.0,-circonscription-alpes-maritimes,PNR,"1,04%"
177,Delphine D'Onofrio,3.0,-circonscription-alpes-maritimes,Le Trèfle,"0,98%"
178,Bruno Della Sudda,3.0,-circonscription-alpes-maritimes,Alternative rouge et verte,"0,96%"
179,Claude Tchernatinsky,3.0,-circonscription-alpes-maritimes,Mouvement des citoyens,"0,67%"
180,Patrick Kaibi,3.0,-circonscription-alpes-maritimes,"
									Initiative républicaine									","0,36%"
181,Jean-Claude Guibal,4.0,-circonscription-alpes-maritimes,RPR,"26,79%"
182,Gérard de Gubernatis,4.0,-circonscription-alpes-maritimes,FN,"20,52%"
183,Xavier Beck,4.0,-circonscription-alpes-maritimes,RPR dissident,"18,34%"
184,Pascale Gérard-Loizzo,4.0,-circonscription-alpes-maritimes,PS,"16,56%"
185,Jean-Michel Cucinelli,4.0,-circonscription-alpes-maritimes,PCF,"8,48%"
186,Philippe Outrequin,4.0,-circonscription-alpes-maritimes,Les Verts,"1,87%"
187,Philippe Gauthier,4.0,-circonscription-alpes-maritimes,"
									LDI-MPF									","1,83%"
188,Alain Hervé,4.0,-circonscription-alpes-maritimes,Génération écologie,"1,72%"
189,Marie-Hélène Bonnet,4.0,-circonscription-alpes-maritimes,Mouvement écologiste indépendant,"1,14%"
190,Patrick Ferruccio,4.0,-circonscription-alpes-maritimes,LCR,"0,84%"
191,Marie-Sylvie Borfiga,4.0,-circonscription-alpes-maritimes,Ecologiste,"0,62%"
192,Louise Di Stefano,4.0,-circonscription-alpes-maritimes,Divers droite,"0,53%"
193,Alain Cane,4.0,-circonscription-alpes-maritimes,PNR,"0,42%"
194,Philippe Morelli,4.0,-circonscription-alpes-maritimes,"
									Initiative républicaine									","0,33%"
195,Christian Estrosi,5.0,-circonscription-alpes-maritimes,RPR,"31,00%"
196,Robert Gazut,5.0,-circonscription-alpes-maritimes,FN,"22,55%"
197,Paul Cuturello,5.0,-circonscription-alpes-maritimes,PS,"19,03%"
198,Francis Tujague,5.0,-circonscription-alpes-maritimes,PCF,"17,11%"
199,Xavier Robert,5.0,-circonscription-alpes-maritimes,Génération écologie,"3,36%"
200,Hélène Salicetti,5.0,-circonscription-alpes-maritimes,"
									LDI-MPF									","2,14%"
201,Axel Hvidsten,5.0,-circonscription-alpes-maritimes,Mouvement écologiste indépendant,"1,46%"
202,Daniel Brun,5.0,-circonscription-alpes-maritimes,"
									Ecologie citoyenne									","1,11%"
203,Jean Nicolas,5.0,-circonscription-alpes-maritimes,Mouvement des citoyens,"0,86%"
204,Yves Masingue,5.0,-circonscription-alpes-maritimes,PNR,"0,51%"
205,Anne Giujuzza,5.0,-circonscription-alpes-maritimes,"
									Initiative républicaine									","0,46%"
206,Gérald Rétalli,5.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","0,35%"
207,Marie-Madeleine Paris,5.0,-circonscription-alpes-maritimes,"
									Parti pour la liberté									","0,07%"
208,Lydie Odetti,5.0,-circonscription-alpes-maritimes,Ecologiste,"0,00%"
209,Lionnel Luca,6.0,-circonscription-alpes-maritimes,RPR dissident,"25,74%"
210,Jean-Paul Ripoll,6.0,-circonscription-alpes-maritimes,FN,"21,20%"
211,Suzanne Sauvaigo,6.0,-circonscription-alpes-maritimes,RPR,"17,80%"
212,Odette Boivin,6.0,-circonscription-alpes-maritimes,PS,"15,99%"
213,Marius Papi,6.0,-circonscription-alpes-maritimes,PCF,"10,35%"
214,Philippe Mussi,6.0,-circonscription-alpes-maritimes,Les Verts,"1,67%"
215,Christian Pétard,6.0,-circonscription-alpes-maritimes,LO,"1,56%"
216,Jean-François Touzé,6.0,-circonscription-alpes-maritimes,PNR,"1,34%"
217,Jean-Yves Ollivier,6.0,-circonscription-alpes-maritimes,Le Trèfle,"1,30%"
218,Marie-José Cadenel,6.0,-circonscription-alpes-maritimes,Divers,"0,82%"
219,Marie-Louise Viallon,6.0,-circonscription-alpes-maritimes,Ecologiste,"0,73%"
220,Geneviève Andréa,6.0,-circonscription-alpes-maritimes,Mouvement écologiste indépendant,"0,65%"
221,Henri Garcia,6.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","0,53%"
222,Michèle Marchal,6.0,-circonscription-alpes-maritimes,"
									Initiative républicaine									","0,33%"
223,Jean Leonetti,7.0,-circonscription-alpes-maritimes,UDF,"38,90%"
224,Robert Crépin,7.0,-circonscription-alpes-maritimes,FN,"23,31%"
225,Jean-Michel Guichard,7.0,-circonscription-alpes-maritimes,PS,"16,30%"
226,Gérard Piel,7.0,-circonscription-alpes-maritimes,PCF,"6,45%"
227,Gérard Bourrat,7.0,-circonscription-alpes-maritimes,Divers droite,"5,93%"
228,Pascal Marquès,7.0,-circonscription-alpes-maritimes,Les Verts,"4,04%"
229,Laure Grevet,7.0,-circonscription-alpes-maritimes,Mouvement écologiste indépendant,"0,99%"
230,Paul Agius,7.0,-circonscription-alpes-maritimes,"
									US4J									","0,93%"
231,Maurice Gillard,7.0,-circonscription-alpes-maritimes,Confédération des Écologistes Indépendants,"0,92%"
232,Ouahid Bouhezza,7.0,-circonscription-alpes-maritimes,Génération écologie,"0,87%"
233,Elise Hagopian,7.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","0,65%"
234,Yves Libre,7.0,-circonscription-alpes-maritimes,PNR,"0,57%"
235,Jean-Nicolas Calitri,7.0,-circonscription-alpes-maritimes,Divers droite,"0,14%"
236,Albert Peyron,8.0,-circonscription-alpes-maritimes,FN,"27,63%"
237,Louise Moreau,8.0,-circonscription-alpes-maritimes,UDF,"25,35%"
238,Henri Leroy,8.0,-circonscription-alpes-maritimes,Divers droite,"12,06%"
239,Jany Mosse,8.0,-circonscription-alpes-maritimes,Parti radical socialiste,"11,83%"
240,Claude Meyffret,8.0,-circonscription-alpes-maritimes,PCF,"6,14%"
241,Didier Cherel,8.0,-circonscription-alpes-maritimes,Les Verts,"5,12%"
242,Paul Vogel,8.0,-circonscription-alpes-maritimes,Divers droite,"5,11%"
243,Robert Calmettes,8.0,-circonscription-alpes-maritimes,"
									LDI-MPF									","2,74%"
244,Albert Desenclos,8.0,-circonscription-alpes-maritimes,Divers,"0,93%"
245,Christiane Moulin,8.0,-circonscription-alpes-maritimes,Le Trèfle,"0,84%"
246,Jean-Pierre Villon,8.0,-circonscription-alpes-maritimes,Mouvement écologiste indépendant,"0,57%"
247,Bruno Tassi,8.0,-circonscription-alpes-maritimes,Divers droite,"0,52%"
248,Monique Le Brizoual,8.0,-circonscription-alpes-maritimes,Divers,"0,48%"
249,Olivier Reese,8.0,-circonscription-alpes-maritimes,PNR,"0,38%"
250,François Lajaunie,8.0,-circonscription-alpes-maritimes,"
									Initiative républicaine									","0,22%"
251,Michel Brun,8.0,-circonscription-alpes-maritimes,Divers,"0,09%"
252,André Aschieri,9.0,-circonscription-alpes-maritimes,Les Verts,"27,92%"
253,Dominique Vidal,9.0,-circonscription-alpes-maritimes,FN,"22,10%"
254,Michèle Tabarot,9.0,-circonscription-alpes-maritimes,UDF,"19,25%"
255,Pierre Bachelet,9.0,-circonscription-alpes-maritimes,RPR dissident,"10,52%"
256,Jean-Pierre Leleux,9.0,-circonscription-alpes-maritimes,"
									LDI-MPF									","8,91%"
257,Paul Euzière,9.0,-circonscription-alpes-maritimes,PCF,"6,53%"
258,Michelle Hébrard,9.0,-circonscription-alpes-maritimes,Ecologiste,"1,23%"
259,Roberte Huet,9.0,-circonscription-alpes-maritimes,Mouvement des citoyens,"0,97%"
260,Jocelyne Gioanni,9.0,-circonscription-alpes-maritimes,Mouvement écologiste indépendant,"0,95%"
261,Fabienne Gariglio,9.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","0,58%"
262,Mohamed Mbechezi,9.0,-circonscription-alpes-maritimes,Génération écologie,"0,54%"
263,André Quesney,9.0,-circonscription-alpes-maritimes,PNR,"0,48%"
264,Pascal Terrasse,1.0,-circonscription-ardeche,PS,"31,88%"
265,Amédée Imbert,1.0,-circonscription-ardeche,UDF,"23,44%"
266,Robert Cotta,1.0,-circonscription-ardeche,PCF,"14,60%"
267,Jean-Joël Vanhove,1.0,-circonscription-ardeche,FN,"14,16%"
268,Christian Lavis,1.0,-circonscription-ardeche,UDF dissident,"6,62%"
269,Jacques Jung,1.0,-circonscription-ardeche,Les Verts,"4,03%"
270,Paul Bossan,1.0,-circonscription-ardeche,"
									LDI-MPF									","2,64%"
271,Jean-Philippe Smadja,1.0,-circonscription-ardeche,Génération écologie,"2,62%"
272,Henri-Jean Arnaud,2.0,-circonscription-ardeche,RPR,"31,62%"
273,Jacques Dondoux,2.0,-circonscription-ardeche,Parti radical socialiste,"30,42%"
274,Henry Desprès,2.0,-circonscription-ardeche,FN,"13,86%"
275,Patrick Laybros,2.0,-circonscription-ardeche,PCF,"7,16%"
276,Michel Rabanit,2.0,-circonscription-ardeche,Les Verts,"4,89%"
277,Patrick de Glises de la Rivière,2.0,-circonscription-ardeche,"
									LDI-MPF									","4,22%"
278,François Egéa,2.0,-circonscription-ardeche,"
									US4J									","2,43%"
279,Stéphane Wendlinger,2.0,-circonscription-ardeche,Divers,"2,35%"
280,Malike Benkhellaf,2.0,-circonscription-ardeche,Génération écologie,"2,02%"
281,Christine Nucci,2.0,-circonscription-ardeche,Divers gauche,"1,02%"
282,Jean-Marie Roux,3.0,-circonscription-ardeche,RPR,"31,37%"
283,Stéphane Alaize,3.0,-circonscription-ardeche,PS,"28,30%"
284,Thierry Arsac,3.0,-circonscription-ardeche,FN,"14,29%"
285,Henri Delauche,3.0,-circonscription-ardeche,PCF,"12,48%"
286,Bernard Egal,3.0,-circonscription-ardeche,Mouvement écologiste indépendant,"5,60%"
287,Pierre Courouble,3.0,-circonscription-ardeche,Génération écologie,"4,10%"
288,Ulysse Barbe,3.0,-circonscription-ardeche,"
									LDI-CNIP									","2,71%"
289,Roger Kappel,3.0,-circonscription-ardeche,Divers droite,"1,14%"
290,Michel Vuibert,1.0,-circonscription-ardennes,UDF,"29,57%"
291,Claudine Ledoux,1.0,-circonscription-ardennes,PS,"27,42%"
292,Emile-Georges Wagner,1.0,-circonscription-ardennes,FN,"21,81%"
293,Sylvain Dalla Rosa,1.0,-circonscription-ardennes,PCF,"8,48%"
294,Philippe Lenice,1.0,-circonscription-ardennes,Les Verts,"4,90%"
295,Michelle Loux,1.0,-circonscription-ardennes,LO,"3,25%"
296,Mario Rebaudengo,1.0,-circonscription-ardennes,"
									LDI-MPF									","3,09%"
297,Isabelle Baudry,1.0,-circonscription-ardennes,"
									US4J									","1,48%"
298,Philippe Mathot,2.0,-circonscription-ardennes,UDF,"25,93%"
299,Philippe Vuilque,2.0,-circonscription-ardennes,PS,"25,67%"
300,Michel Dierckens,2.0,-circonscription-ardennes,FN,"20,56%"
301,René Visse,2.0,-circonscription-ardennes,PCF,"17,29%"
302,Thérèse Lorandeau,2.0,-circonscription-ardennes,Les Verts,"4,31%"
303,Jean-Pierre Bourriaud,2.0,-circonscription-ardennes,LO,"2,01%"
304,Gilbert Dequet,2.0,-circonscription-ardennes,"
									LDI-MPF									","1,69%"
305,Gérard Baudoin,2.0,-circonscription-ardennes,Parti des travailleurs,"1,03%"
306,Jean-Michel Fournaise,2.0,-circonscription-ardennes,LCR,"1,00%"
307,Simone Delisle,2.0,-circonscription-ardennes,PNR,"0,35%"
308,Jacques Oury,2.0,-circonscription-ardennes,"
									Parti pour la liberté									","0,16%"
309,Jean-Luc Warsmann,3.0,-circonscription-ardennes,RPR,"39,82%"
310,Jean-Paul Bachy,3.0,-circonscription-ardennes,PS,"26,87%"
311,Anne-Marie Delbé,3.0,-circonscription-ardennes,FN,"16,84%"
312,Régine Henry,3.0,-circonscription-ardennes,PCF,"6,76%"
313,Laurence Boulinier,3.0,-circonscription-ardennes,LO,"2,46%"
314,Guy Hannesse,3.0,-circonscription-ardennes,Les Verts,"2,43%"
315,Georges Le Nechet,3.0,-circonscription-ardennes,Génération écologie,"2,13%"
316,Bernard Valent,3.0,-circonscription-ardennes,"
									LDI-MPF									","1,81%"
317,Said Bessadi,3.0,-circonscription-ardennes,LCR,"0,88%"
318,Augustin Bonrepaux,1.0,-circonscription-ariege,PS,"44,48%"
319,Henri de Tappie,1.0,-circonscription-ariege,RPR,"18,72%"
320,Lyliane Cassan,1.0,-circonscription-ariege,PCF,"12,22%"
321,Georges Mesplié,1.0,-circonscription-ariege,FN,"9,96%"
322,Françoise Matricon,1.0,-circonscription-ariege,Les Verts,"4,84%"
323,Didier Soulet,1.0,-circonscription-ariege,LO,"2,62%"
324,Jean Darnaud,1.0,-circonscription-ariege,"
									LDI-CNIP									","2,28%"
325,Jean-Luc Torrecillas,1.0,-circonscription-ariege,"
									US4J									","1,82%"
326,Gisèle Garaud,1.0,-circonscription-ariege,"
									Les nouveaux écologistes									","1,73%"
327,Serge Gerbaudi,1.0,-circonscription-ariege,"
									Initiative républicaine									","0,98%"
328,Jean-Jacques Graulle,1.0,-circonscription-ariege,Divers gauche,"0,34%"
329,Henri Nayrou,2.0,-circonscription-ariege,PS,"37,37%"
330,André Trigano,2.0,-circonscription-ariege,UDF,"27,74%"
331,Josée Souque,2.0,-circonscription-ariege,PCF,"12,16%"
332,Etienne Daure,2.0,-circonscription-ariege,FN,"8,85%"
333,Jean-Charles Sutra,2.0,-circonscription-ariege,Les Verts,"3,26%"
