,Candidat,Circ,Departement,Parti,Score
0,André Godin,1.0,-circonscription-ain,PS,"31,23%"
1,Jacques Boyon,1.0,-circonscription-ain,RPR,"29,91%"
2,Annick Veillerot,1.0,-circonscription-ain,FN,"15,92%"
3,Jean-Claude Marquis,1.0,-circonscription-ain,UDF dissident,"5,50%"
4,Monique Duthu,1.0,-circonscription-ain,Les Verts,"5,23%"
5,Lionel Mornet,1.0,-circonscription-ain,PCF,"4,65%"
6,Hervé Le Maout,1.0,-circonscription-ain,"
									LDI-MPF									","2,79%"
7,Yves Petiot,1.0,-circonscription-ain,LO,"2,23%"
8,Carole Gerbaud,1.0,-circonscription-ain,Convention pour une alternative progressiste,"1,21%"
9,Bernard Favre,1.0,-circonscription-ain,Mouvement écologiste indépendant,"1,18%"
10,Gilbert Bonnot,1.0,-circonscription-ain,Divers,"0,15%"
11,Lucien Guichon,2.0,-circonscription-ain,RPR,"31,12%"
12,André Clavel,2.0,-circonscription-ain,FN,"24,14%"
13,Jocelyne Bollini,2.0,-circonscription-ain,PS,"21,61%"
14,Georges Arpin,2.0,-circonscription-ain,PCF,"8,24%"
15,Philippe Lebreton,2.0,-circonscription-ain,Mouvement écologiste indépendant,"3,96%"
16,Pierre Ferrario,2.0,-circonscription-ain,"
									LDI-MPF									","3,48%"
17,Danielle Grange,2.0,-circonscription-ain,LO,"3,39%"
18,Olivier Josserand,2.0,-circonscription-ain,"
									US4J									","1,67%"
19,Didier Eckel,2.0,-circonscription-ain,Mouvement des citoyens,"1,48%"
20,Raoul Chavet,2.0,-circonscription-ain,Parti des travailleurs,"0,92%"
21,Charles Millon,3.0,-circonscription-ain,UDF,"40,83%"
22,Eric Gilbert,3.0,-circonscription-ain,Les Verts,"20,14%"
23,Olivier Wyssa,3.0,-circonscription-ain,FN,"14,87%"
24,Philippe Virard,3.0,-circonscription-ain,Mouvement des citoyens,"6,96%"
25,Jean-Pierre Merlo,3.0,-circonscription-ain,PCF,"6,86%"
26,Henri Casellas,3.0,-circonscription-ain,Génération écologie,"3,96%"
27,Henri Gouy-Paillier,3.0,-circonscription-ain,LO,"3,30%"
28,Louis-Alain Gaudin,3.0,-circonscription-ain,"
									LDI-MPF									","3,08%"
29,Michel Voisin,4.0,-circonscription-ain,UDF,"37,43%"
30,Michel Raymond,4.0,-circonscription-ain,PS,"26,86%"
31,Jean-Loup de Lacheisserie,4.0,-circonscription-ain,FN,"19,89%"
32,Marcelle Dos Santos,4.0,-circonscription-ain,PCF,"4,76%"
33,Jean-Paul Gaucher,4.0,-circonscription-ain,Les Verts,"3,64%"
34,Gilles Dommanget,4.0,-circonscription-ain,"
									LDI-MPF									","3,06%"
35,Paul Biajoux,4.0,-circonscription-ain,Génération écologie,"2,47%"
36,Daniel Véricel,4.0,-circonscription-ain,Convention pour une alternative progressiste,"1,90%"
37,René Dosière,1.0,-circonscription-aisne,PS,"32,06%"
38,Jean-Claude Lamant,1.0,-circonscription-aisne,RPR,"28,98%"
39,Michel Saleck,1.0,-circonscription-aisne,FN,"14,94%"
40,Dominique Lacombe,1.0,-circonscription-aisne,PCF,"7,86%"
41,Michel Vignal,1.0,-circonscription-aisne,Mouvement des citoyens,"7,52%"
42,Dominique Picqueur,1.0,-circonscription-aisne,LO,"5,77%"
43,Jacques Samyn,1.0,-circonscription-aisne,Les Verts,"2,88%"
44,Odette Grzegrzulka,2.0,-circonscription-aisne,PS,"28,63%"
45,Charles Baur,2.0,-circonscription-aisne,UDF,"27,84%"
46,Alix Suchecki,2.0,-circonscription-aisne,PCF,"14,09%"
47,François Piquet,2.0,-circonscription-aisne,FN,"9,27%"
48,Agnès Boutreux-Potel,2.0,-circonscription-aisne,Génération écologie,"5,26%"
49,Didier Hernoux,2.0,-circonscription-aisne,LO,"2,93%"
