,Candidat,Circ,Departement,Parti,Score
0,Jean-Michel Bertrand,1.0,-circonscription-ain,UMP,"42,49%"
1,André Godin,1.0,-circonscription-ain,PS,"33,23%"
2,Armelle Benoiston,1.0,-circonscription-ain,FN,"11,18%"
3,Marie-France Besson,1.0,-circonscription-ain,CPNT,"1,79%"
4,Hervé Le Maout,1.0,-circonscription-ain,MPF,"1,59%"
5,Annick Veillerot,1.0,-circonscription-ain,MNR,"1,55%"
6,Noëlle Favier,1.0,-circonscription-ain,PCF,"1,46%"
7,Carole Guénard-Gerbaud,1.0,-circonscription-ain,LCR,"1,42%"
8,Bernard Favre,1.0,-circonscription-ain,MEI,"1,25%"
9,Jean-Pierre Cotton,1.0,-circonscription-ain,Les alternatifs,"1,19%"
10,Béatrice Durand,1.0,-circonscription-ain,Pôle républicain,"1,10%"
11,Éric Lahy,1.0,-circonscription-ain,LO,"0,82%"
12,Léo Solmont,1.0,-circonscription-ain,Génération écologie,"0,43%"
13,Jean-Michel Boulmé,1.0,-circonscription-ain,Parti des travailleurs,"0,38%"
14,Olivier Bovis,1.0,-circonscription-ain,Parti fédéraliste,"0,13%"
15,Lucien Guichon,2.0,-circonscription-ain,UMP,"41,14%"
16,Éliane Drut-Gorju,2.0,-circonscription-ain,PS,"20,66%"
17,Lydia Girault,2.0,-circonscription-ain,FN,"17,47%"
18,Éric Gilbert,2.0,-circonscription-ain,Les Verts,"4,04%"
19,André Clavel,2.0,-circonscription-ain,MNR,"3,58%"
20,Mylène Ferri,2.0,-circonscription-ain,PCF,"3,33%"
21,Alain Cavet,2.0,-circonscription-ain,Pôle républicain,"2,48%"
22,Denis Baratay,2.0,-circonscription-ain,CPNT,"1,58%"
23,Fabienne Pin,2.0,-circonscription-ain,MPF,"1,58%"
24,Guy Largeron,2.0,-circonscription-ain,LO,"1,30%"
25,Bernadette Grelier,2.0,-circonscription-ain,MEI,"1,09%"
26,Didier Eckel,2.0,-circonscription-ain,LCR,"0,91%"
27,Catherine Kallache,2.0,-circonscription-ain,Génération écologie,"0,46%"
28,Julien Duchesne,2.0,-circonscription-ain,Parti fédéraliste,"0,36%"
29, Étienne Blanc,3.0,-circonscription-ain,UMP,"43,74%"
30,Hubert Bertrand,3.0,-circonscription-ain,PRG,"18,84%"
31,Olivier Wyssa,3.0,-circonscription-ain,FN,"13,33%"
32,Philippe Virard,3.0,-circonscription-ain,Pôle républicain,"6,93%"
33,Alain Pasqualin,3.0,-circonscription-ain,Les Verts,"4,20%"
34,Gérard Bettant,3.0,-circonscription-ain,CPNT,"3,59%"
35,Jean-Pierre Merlo,3.0,-circonscription-ain,PCF,"3,36%"
36,Ginette Richard,3.0,-circonscription-ain,MEI,"1,88%"
37,Sylvie Crozet,3.0,-circonscription-ain,LO,"1,45%"
38,Patrick Fernandez,3.0,-circonscription-ain,MNR,"1,03%"
39,Costanza Solari-Vincensini,3.0,-circonscription-ain,Parti des travailleurs,"0,62%"
40,Elisa Allenbach,3.0,-circonscription-ain,Parti fédéraliste,"0,52%"
41,Anne-Marie Rosset,3.0,-circonscription-ain,Ligue savoisienne,"0,30%"
42,Danielle Hervé,3.0,-circonscription-ain,Démocratie active,"0,20%"
43,Michel Voisin,4.0,-circonscription-ain,UMP,"45,73%"
44,Michel Raymond,4.0,-circonscription-ain,PS,"24,64%"
45,Jean-Loup de Lacheisserie,4.0,-circonscription-ain,FN,"16,47%"
46,Marie-Françoise Mandras,4.0,-circonscription-ain,CPNT,"2,16%"
47,Anne Partensky,4.0,-circonscription-ain,Les Verts,"1,56%"
48,Dominique Vial,4.0,-circonscription-ain,Pôle républicain,"1,38%"
49,Jean-François Mortel,4.0,-circonscription-ain,LCR,"1,36%"
50,Jacqueline Burgat,4.0,-circonscription-ain,PCF,"1,20%"
51,Gilles Dommanget,4.0,-circonscription-ain,RPF,"1,09%"
52,Philippe Lebreton,4.0,-circonscription-ain,MEI,"1,02%"
53,Renée Jouve,4.0,-circonscription-ain,MNR,"0,90%"
54,Michèle Lévèque,4.0,-circonscription-ain,MPF,"0,83%"
55,Electre Dracos,4.0,-circonscription-ain,LO,"0,80%"
56,Christiane Bataillard,4.0,-circonscription-ain,Les alternatifs,"0,37%"
57,Hamida Bensmaine,4.0,-circonscription-ain,Génération écologie,"0,34%"
58,Christelle Prêtre,4.0,-circonscription-ain,Parti fédéraliste,"0,12%"
59,Marcel Damien,4.0,-circonscription-ain,Démocratie active,"0,05%"
60,René Dosière,1.0,-circonscription-aisne,PS,"32,72%"
61,Jean-Claude Lamant,1.0,-circonscription-aisne,Divers droite,"19,82%"
62,Philippe Malpezzi,1.0,-circonscription-aisne,UMP,"18,14%"
63,Anne-Marie Fournier,1.0,-circonscription-aisne,FN,"13,80%"
64,Marc Marissal,1.0,-circonscription-aisne,PCF,"2,98%"
65,Béatrice Lebel,1.0,-circonscription-aisne,CPNT,"2,57%"
66,Jean-Loup Pernelle,1.0,-circonscription-aisne,LO,"2,53%"
67,Alain Midelet,1.0,-circonscription-aisne,Pôle républicain,"2,07%"
68,Thomas Vachetta,1.0,-circonscription-aisne,LCR,"2,05%"
69,Elizabeth Fontaine,1.0,-circonscription-aisne,MEI,"1,95%"
70,Christelle Camu,1.0,-circonscription-aisne,MNR,"0,75%"
71,Marie-Angélique Anthoine,1.0,-circonscription-aisne,MPF,"0,63%"
72,Catherine Arribas,1.0,-circonscription-aisne,Les Verts,"0,00%"
73,Xavier Devaugerme,1.0,-circonscription-aisne,Parti des socioprofessionels,"0,00%"
74,Xavier Bertrand,2.0,-circonscription-aisne,UMP,"43,13%"
75,Odette Grzegrzulka,2.0,-circonscription-aisne,PS,"26,91%"
76,Marcel Lelong,2.0,-circonscription-aisne,FN,"13,43%"
77,Jean-Luc Tournay,2.0,-circonscription-aisne,PCF,"5,25%"
78,Alexis Grandin,2.0,-circonscription-aisne,MPF,"2,62%"
79,Olivier Godin,2.0,-circonscription-aisne,LCR,"1,54%"
80,Freddy Grzeziczak,2.0,-circonscription-aisne,Pôle républicain,"1,53%"
81,Alain Betems,2.0,-circonscription-aisne,CPNT,"1,53%"
82,Anne Zanditenas,2.0,-circonscription-aisne,LO,"1,30%"
83,Nadia Voiret,2.0,-circonscription-aisne,Génération écologie,"1,01%"
84,Bernard Roger,2.0,-circonscription-aisne,Parti des travailleurs,"0,76%"
85,Déborah Lagrange,2.0,-circonscription-aisne,MNR,"0,67%"
86,Jean-Dominique Basso,2.0,-circonscription-aisne,"
									Initiative républicaine									","0,34%"
87,Nora Ahmed Ali,2.0,-circonscription-aisne,Les Verts,"0,00%"
88,Jean-Pierre Balligand,3.0,-circonscription-aisne,PS,"45,54%"
89,Annick Garin,3.0,-circonscription-aisne,UMP,"26,15%"
90,Françoise Delahaye,3.0,-circonscription-aisne,FN,"15,12%"
91,Yannick Marlant,3.0,-circonscription-aisne,PCF,"3,49%"
92,Marc Pailler,3.0,-circonscription-aisne,LO,"2,01%"
93,Andrée Flamengt,3.0,-circonscription-aisne,CPNT,"1,89%"
94,José Meurice,3.0,-circonscription-aisne,Les Verts,"1,78%"
95,Annie Pissot,3.0,-circonscription-aisne,MPF,"1,20%"
96,Nicole Caillot,3.0,-circonscription-aisne,Pôle républicain,"0,95%"
97,Danièle Sené,3.0,-circonscription-aisne,LCR,"0,80%"
98,Dominique Marcinek,3.0,-circonscription-aisne,MNR,"0,77%"
99,Daniel Wargnier,3.0,-circonscription-aisne,Génération écologie,"0,30%"
100,Jacques Desallangre,4.0,-circonscription-aisne,DVG,"27,96%"
101,Édith Errasti,4.0,-circonscription-aisne,UMP,"22,54%"
102,Wallerand de Saint-Just,4.0,-circonscription-aisne,FN,"17,13%"
103,Emmanuelle Bouquillon,4.0,-circonscription-aisne,UDF,"12,37%"
104,Edith Bochand,4.0,-circonscription-aisne,PS,"11,34%"
105,Karine Ansart,4.0,-circonscription-aisne,Les Verts,"1,92%"
106,Fréderic Gauger,4.0,-circonscription-aisne,CPNT,"1,74%"
107,Laetitia Voisin,4.0,-circonscription-aisne,LO,"1,56%"
108,Philippe Mussat,4.0,-circonscription-aisne,LCR,"1,24%"
109,Jacques Samyn,4.0,-circonscription-aisne,MEI,"0,79%"
110,Gabrielle Kubiak,4.0,-circonscription-aisne,MNR,"0,79%"
111,Régine Debret,4.0,-circonscription-aisne,MPF,"0,63%"
112,Renaud Dutreil,5.0,-circonscription-aisne,UMP,"46,33%"
113,Franck Briffaut,5.0,-circonscription-aisne,FN,"17,98%"
114,Bernadette Bourdat,5.0,-circonscription-aisne,PS,"12,22%"
115,Marie-Jeanne Potin,5.0,-circonscription-aisne,Les Verts,"9,79%"
116,Jean-Luc Allioux,5.0,-circonscription-aisne,PCF,"4,05%"
117,Jean-Claude Bouché,5.0,-circonscription-aisne,LO,"2,30%"
118,Marc-Hervé Rey,5.0,-circonscription-aisne,MEI,"1,75%"
119,Serge Chasseuil,5.0,-circonscription-aisne,LCR,"1,69%"
120,Nicole Thomassin,5.0,-circonscription-aisne,Pôle républicain,"1,30%"
121,Romuald Passenhove,5.0,-circonscription-aisne,CPNT,"1,11%"
122,Agnes Brezillon,5.0,-circonscription-aisne,MNR,"0,82%"
123,Olivia Fraillon,5.0,-circonscription-aisne,MPF,"0,65%"
124,Pierre-André Périssol,1.0,-circonscription-allier,UMP,"40,47%"
125,François Colcombet,1.0,-circonscription-allier,PS,"36,68%"
126,Danièle de Salvert,1.0,-circonscription-allier,FN,"7,45%"
127,Cathy Savel,1.0,-circonscription-allier,PCF,"5,33%"
128,Jean-Louis Vélez,1.0,-circonscription-allier,Divers droite,"1,52%"
129,Dominique Delvincourt,1.0,-circonscription-allier,Les Verts,"1,29%"
130,Joseph Beaussaron,1.0,-circonscription-allier,CPNT,"1,18%"
131,Jean-Marie Guillaumin,1.0,-circonscription-allier,Le trèfle,"0,93%"
132,Khamssa Rahmani,1.0,-circonscription-allier,LO,"0,92%"
133,Emmanuel Tranchant,1.0,-circonscription-allier,MPF,"0,72%"
134,Christian Tabarovsky,1.0,-circonscription-allier,Pôle républicain,"0,69%"
135,Michel Feuillebois,1.0,-circonscription-allier,Divers gauche,"0,63%"
136,Robert Boulet,1.0,-circonscription-allier,Divers droite,"0,59%"
137,Martine Talon,1.0,-circonscription-allier,Rassemblement des contribuables français,"0,43%"
138,Daniel Leclerc,1.0,-circonscription-allier,MNR,"0,41%"
139,Marc-Claude de Portebane,1.0,-circonscription-allier,Divers droite,"0,38%"
140,Michel Fabre,1.0,-circonscription-allier,MEI,"0,37%"
141,Daniel Duglery,2.0,-circonscription-allier,UMP,"38,32%"
142,Pierre Goldberg,2.0,-circonscription-allier,PCF,"30,58%"
143,Dominique Fleurat,2.0,-circonscription-allier,PS,"14,12%"
144,Lucette Vuarchex,2.0,-circonscription-allier,FN,"4,84%"
145,Jean Gravier,2.0,-circonscription-allier,Divers droite,"3,88%"
146,Vincent Fabre,2.0,-circonscription-allier,Les Verts,"2,20%"
147,Pierre Alamargot,2.0,-circonscription-allier,CPNT,"1,59%"
148,Monique Dujon,2.0,-circonscription-allier,Le Trèfle,"1,05%"
149,Jean-Pierre Fournier,2.0,-circonscription-allier,LCR,"1,05%"
150,François Boethas,2.0,-circonscription-allier,LO,"0,96%"
151,Marcel Pisani,2.0,-circonscription-allier,Pôle républicain,"0,87%"
152,André Bournet,2.0,-circonscription-allier,MNR,"0,54%"
153,Yves Simon,3.0,-circonscription-allier,UMP,"36,73%"
154,Jean-Claude Mairal,3.0,-circonscription-allier,PCF,"22,90%"
155,Jean Mallot,3.0,-circonscription-allier,PS,"19,54%"
156,Jean-Louis Baudriller,3.0,-circonscription-allier,FN,"7,34%"
157,Nicole Rouaire,3.0,-circonscription-allier,Les Verts,"3,07%"
158,Arnaud de Veauce,3.0,-circonscription-allier,MPF,"2,67%"
159,Olivier Bourrel,3.0,-circonscription-allier,CPNT,"2,42%"
160,Bernard Lebel,3.0,-circonscription-allier,LO,"1,64%"
161,Gérard Guillaumin,3.0,-circonscription-allier,Le Trèfle,"1,37%"
162,Michèle Depret,3.0,-circonscription-allier,Pôle républicain,"1,34%"
163,Danièle Parisel,3.0,-circonscription-allier,MNR,"0,98%"
164,Claude Malhuret,4.0,-circonscription-allier,UMP,"39,89%"
165,Gérard Charasse,4.0,-circonscription-allier,PRG,"35,92%"
166,Louis de Condé,4.0,-circonscription-allier,FN,"9,42%"
167,Jésus Moran,4.0,-circonscription-allier,PCF,"5,19%"
168,Bernard Devoucoux du Buysson,4.0,-circonscription-allier,Les Verts,"2,46%"
169,Marie-Christine Barraud,4.0,-circonscription-allier,CPNT,"1,74%"
170,Frédéric Dumouchel,4.0,-circonscription-allier,Le Trèfle,"1,34%"
171,Agnès Risbec,4.0,-circonscription-allier,LO,"1,10%"
172,Dominique Geoffroy,4.0,-circonscription-allier,Énergie Démocrate,"1,04%"
173,Alain Compagnon,4.0,-circonscription-allier,MNR,"1,00%"
174,Erec Glogowski,4.0,-circonscription-allier,MPF,"0,91%"
175,Jean-Louis Bianco,1.0,-circonscription-alpes-de-haute-provence,PS,"33,78%"
176,Francis Galizi,1.0,-circonscription-alpes-de-haute-provence,UMP,"29,86%"
177,Michèle Signoret,1.0,-circonscription-alpes-de-haute-provence,FN,"12,17%"
178,José Escanez,1.0,-circonscription-alpes-de-haute-provence,Pôle républicain,"5,72%"
179,Christian Jauffret,1.0,-circonscription-alpes-de-haute-provence,CPNT,"3,94%"
180,Philippe Berrod,1.0,-circonscription-alpes-de-haute-provence,Les Verts,"3,47%"
181,Joëlle Tebar,1.0,-circonscription-alpes-de-haute-provence,UDF,"2,66%"
182,Valérie Durey,1.0,-circonscription-alpes-de-haute-provence,LCR,"1,97%"
183,Christophe Scaramelli,1.0,-circonscription-alpes-de-haute-provence,"
									Défendons la Chasse et Nos Traditions / Droit de Chasse									","1,70%"
184,Anne-Laure Goislard de Monsabert,1.0,-circonscription-alpes-de-haute-provence,MNR,"0,96%"
185,Muriel Parian,1.0,-circonscription-alpes-de-haute-provence,"
									Renouveau écologique									","0,86%"
186,Olivier Tripelon,1.0,-circonscription-alpes-de-haute-provence,LO,"0,83%"
187,Richard Tonelli,1.0,-circonscription-alpes-de-haute-provence,Génération écologie,"0,75%"
188,Gaud Chauvin,1.0,-circonscription-alpes-de-haute-provence,MEI,"0,58%"
189,Gérard Delapierre,1.0,-circonscription-alpes-de-haute-provence,Parti des travailleurs,"0,42%"
190,Marcel Germain,1.0,-circonscription-alpes-de-haute-provence,CNIP,"0,22%"
191,Ouerdia Tabet,1.0,-circonscription-alpes-de-haute-provence,Parti fédéraliste,"0,11%"
192,Daniel Spagnou,2.0,-circonscription-alpes-de-haute-provence,UMP,"40,41%"
193,Robert Honde,2.0,-circonscription-alpes-de-haute-provence,PRG,"22,49%"
194,Rémy Le Cardinal,2.0,-circonscription-alpes-de-haute-provence,FN,"10,54%"
195,Yannick Philipponneau,2.0,-circonscription-alpes-de-haute-provence,PCF,"7,38%"
196,Christian Pesce,2.0,-circonscription-alpes-de-haute-provence,CPNT,"3,64%"
197,Patricia Starek,2.0,-circonscription-alpes-de-haute-provence,Les Verts,"3,25%"
198,Claude Laugier,2.0,-circonscription-alpes-de-haute-provence,UDF,"2,69%"
199,Gérard Guieu,2.0,-circonscription-alpes-de-haute-provence,LCR,"2,03%"
200,Mireille D'Ornano,2.0,-circonscription-alpes-de-haute-provence,MNR,"2,01%"
201,Marie-Line Molina,2.0,-circonscription-alpes-de-haute-provence,"
									Défendons la Chasse et Nos Traditions / Droit de Chasse									","1,19%"
202,Catherine Bourcier,2.0,-circonscription-alpes-de-haute-provence,"
									Renouveau écologique									","1,01%"
203,Isabelle Verschueren,2.0,-circonscription-alpes-de-haute-provence,Énergie Démocrate,"0,83%"
204,Christine Berthe,2.0,-circonscription-alpes-de-haute-provence,MEI,"0,66%"
205,Max Illy,2.0,-circonscription-alpes-de-haute-provence,LO,"0,63%"
206,Alain Raud,2.0,-circonscription-alpes-de-haute-provence,Génération écologie,"0,56%"
207,Françoise Schmitt-Salice,2.0,-circonscription-alpes-de-haute-provence,Parti Occitan,"0,40%"
208,Dorothée Martin,2.0,-circonscription-alpes-de-haute-provence,CNIP,"0,27%"
209,Pierre Delmar,2.0,-circonscription-alpes-de-haute-provence,Divers droite,"0,00%"
210,Daniel Chevallier,1.0,-circonscription-hautes-alpes,PS,"28,51%"
211,Henriette Martinez,1.0,-circonscription-hautes-alpes,UMP,"23,30%"
212,Jean-Michel Arnaud,1.0,-circonscription-hautes-alpes,UDF,"16,42%"
213,Martine Lelièvre-Maaziz,1.0,-circonscription-hautes-alpes,FN,"7,78%"
214,Jean-Louis Geiger,1.0,-circonscription-hautes-alpes,Démocratie libérale,"7,61%"
215,Jean-Jacques Ferrero,1.0,-circonscription-hautes-alpes,PCF,"4,73%"
216,Marie-Christine Bouchez,1.0,-circonscription-hautes-alpes,Les Verts,"2,97%"
217,Patrick Faure,1.0,-circonscription-hautes-alpes,CPNT,"2,41%"
218,Gérard Leroy,1.0,-circonscription-hautes-alpes,LCR,"1,44%"
219,Nathamie Devant,1.0,-circonscription-hautes-alpes,MNR,"0,95%"
220,Michel Boulfroy,1.0,-circonscription-hautes-alpes,"
									Défendons la Chasse et Nos Traditions / Droit de Chasse									","0,89%"
221,Elisabeth Thomas,1.0,-circonscription-hautes-alpes,LO,"0,68%"
222,Sophie Martin,1.0,-circonscription-hautes-alpes,"
									Renouveau écologique									","0,63%"
223,Jacques Daudon,1.0,-circonscription-hautes-alpes,"
									Concordat citoyen									","0,61%"
224,Chantal Zurfluh,1.0,-circonscription-hautes-alpes,MEI,"0,49%"
225,Christine Mineo,1.0,-circonscription-hautes-alpes,Génération écologie,"0,26%"
