,Candidat,Circ,Departement,Parti,Score
226,Anne-Marie Janczak,1.0,-circonscription-hautes-alpes,Parti Occitan,"0,18%"
227,Anita Gimenez,1.0,-circonscription-hautes-alpes,CNIP,"0,13%"
228,Jean-Yves Dusserre,2.0,-circonscription-hautes-alpes,UMP,"40,55%"
229,Joël Giraud,2.0,-circonscription-hautes-alpes,PRG,"34,77%"
230,Nicole Samat,2.0,-circonscription-hautes-alpes,FN,"7,15%"
231,François Labande,2.0,-circonscription-hautes-alpes,Les Verts,"5,37%"
232,Antoine Guardabascio,2.0,-circonscription-hautes-alpes,PCF,"3,28%"
233,Marie-Christine Pierre,2.0,-circonscription-hautes-alpes,CPNT,"2,44%"
234,Jean-Pierre Bouteille,2.0,-circonscription-hautes-alpes,MNR,"1,22%"
235,Marie-Alberte Johsua,2.0,-circonscription-hautes-alpes,LCR,"1,17%"
236,Isabelle Gribout,2.0,-circonscription-hautes-alpes,"
									Défendons la Chasse et Nos Traditions / Droit de Chasse									","1,12%"
237,Georges Bégué,2.0,-circonscription-hautes-alpes,Le trèfle,"0,73%"
238,Jean-Claude Poissonnier,2.0,-circonscription-hautes-alpes,LO,"0,59%"
239,Sylviane Carenzo,2.0,-circonscription-hautes-alpes,CNIP,"0,54%"
240,Isabelle Vigilante,2.0,-circonscription-hautes-alpes,"
									Renouveau écologique									","0,42%"
241,Oonagh Weldon,2.0,-circonscription-hautes-alpes,MEI,"0,38%"
242,Jean-Phillipe Leffre,2.0,-circonscription-hautes-alpes,Génération écologie,"0,27%"
243,Marc Russeil,2.0,-circonscription-hautes-alpes,UDF,"0,00%"
244,Jérôme Rivière,1.0,-circonscription-alpes-maritimes,UMP,"26,57%"
245,Patrick Allemand,1.0,-circonscription-alpes-maritimes,PS,"26,02%"
246,Pierre Argentieri,1.0,-circonscription-alpes-maritimes,FN,"22,67%"
247,Gilbert Stellardo,1.0,-circonscription-alpes-maritimes,"
									Union niçoise									","12,11%"
248,Jacques Victor,1.0,-circonscription-alpes-maritimes,PCF,"4,05%"
249,Jean-Auguste Icart,1.0,-circonscription-alpes-maritimes,Divers droite,"2,83%"
250,Patrick Nguyen Van Gam,1.0,-circonscription-alpes-maritimes,Divers,"0,79%"
251,Michel François,1.0,-circonscription-alpes-maritimes,MEI,"0,77%"
252,Virginie Heim,1.0,-circonscription-alpes-maritimes,MNR,"0,77%"
253,Roberte Huet,1.0,-circonscription-alpes-maritimes,Pôle républicain,"0,62%"
254,Joël Rigolat,1.0,-circonscription-alpes-maritimes,Confédération des écologistes indépendants,"0,57%"
255,Olivier Sillam,1.0,-circonscription-alpes-maritimes,LCR,"0,56%"
256,Christophe Ricerchi,1.0,-circonscription-alpes-maritimes,Communistes,"0,47%"
257,Nicole Schligler,1.0,-circonscription-alpes-maritimes,LO,"0,42%"
258,Bernadette Bouchard,1.0,-circonscription-alpes-maritimes,Les alternatifs,"0,35%"
259,Danielle Lisbona,1.0,-circonscription-alpes-maritimes,CNIP,"0,26%"
260,Raymond Bellone,1.0,-circonscription-alpes-maritimes,Rassemblement pour la démocratie directe,"0,19%"
261,Jean-Marc Governatori,1.0,-circonscription-alpes-maritimes,"
									Union droite républicaine									","0,00%"
262,Alain Gilabert,1.0,-circonscription-alpes-maritimes,"
									Parti pied-noir									","0,00%"
263,Muriel Marland,2.0,-circonscription-alpes-maritimes,UMP,"33,68%"
264,Patrick Mottard,2.0,-circonscription-alpes-maritimes,PS,"26,61%"
265,Marie-France Stirbois,2.0,-circonscription-alpes-maritimes,FN,"23,02%"
266,Jacqueline Mathieu-Obadia,2.0,-circonscription-alpes-maritimes,Divers droite,"6,72%"
267,Simone Monticelli,2.0,-circonscription-alpes-maritimes,PCF,"2,07%"
268,Jean-Pierre Mangiapan,2.0,-circonscription-alpes-maritimes,Divers droite,"1,17%"
269,Philippe Belin,2.0,-circonscription-alpes-maritimes,Divers droite,"0,95%"
270,Joëlle Martinaux,2.0,-circonscription-alpes-maritimes,MPF,"0,93%"
271,Jean-Paul Perez,2.0,-circonscription-alpes-maritimes,MNR,"0,88%"
272,Rose-Marie Allegret,2.0,-circonscription-alpes-maritimes,MEI,"0,59%"
273,Christian Sakhinis,2.0,-circonscription-alpes-maritimes,Le trèfle,"0,57%"
274,Jacques Leboucher,2.0,-circonscription-alpes-maritimes,MHAN,"0,48%"
275,Laurence de Stefano,2.0,-circonscription-alpes-maritimes,Divers,"0,45%"
276,Philippe Boure,2.0,-circonscription-alpes-maritimes,LCR,"0,44%"
277,Joseph Markiel,2.0,-circonscription-alpes-maritimes,LO,"0,32%"
278,Bernard Bourelly,2.0,-circonscription-alpes-maritimes,Divers,"0,27%"
279,René Pico,2.0,-circonscription-alpes-maritimes,"
									Parti pied-noir									","0,24%"
280,Marie Martin-Pécheux,2.0,-circonscription-alpes-maritimes,"
									Mouvement Citterien									","0,22%"
281,Jeanine Simeoni,2.0,-circonscription-alpes-maritimes,"
									Initiative républicaine									","0,20%"
282,Robert Sanchis,2.0,-circonscription-alpes-maritimes,Rassemblement pour la démocratie directe,"0,18%"
283,Rudy Salles,3.0,-circonscription-alpes-maritimes,UDF,"43,06%"
284,Isabelle Gérard,3.0,-circonscription-alpes-maritimes,FN,"23,77%"
285,Juliette Chesnel Le Roux,3.0,-circonscription-alpes-maritimes,Les Verts,"20,01%"
286,Marie Billi,3.0,-circonscription-alpes-maritimes,PCF,"4,62%"
287,Jean-Marie Bertozzi,3.0,-circonscription-alpes-maritimes,MNR,"1,09%"
288,Jean-Christophe Picard,3.0,-circonscription-alpes-maritimes,Divers gauche,"1,03%"
289,Angèle Orsini,3.0,-circonscription-alpes-maritimes,Pôle républicain,"1,02%"
290,Patrice Miran,3.0,-circonscription-alpes-maritimes,MEI,"1,01%"
291,Jean Pardini,3.0,-circonscription-alpes-maritimes,Divers,"0,95%"
292,Bruno Della Sudda,3.0,-circonscription-alpes-maritimes,Les alternatifs,"0,83%"
293,Marie-Josée Pereira,3.0,-circonscription-alpes-maritimes,LO,"0,69%"
294,Williams Vanseveren,3.0,-circonscription-alpes-maritimes,MPF,"0,53%"
295,Muguette Rigolat,3.0,-circonscription-alpes-maritimes,Génération écologie,"0,46%"
296,Roland Buch,3.0,-circonscription-alpes-maritimes,"
									Parti pied-noir									","0,30%"
297,André-Jacques Holbecq,3.0,-circonscription-alpes-maritimes,"
									Mouvement citerrien									","0,21%"
298,Catherine Habay,3.0,-circonscription-alpes-maritimes,Parti fédéraliste,"0,17%"
299,Laurette Martinetti,3.0,-circonscription-alpes-maritimes,Démocratie active,"0,17%"
300,René Dedieu,3.0,-circonscription-alpes-maritimes,Divers,"0,10%"
301,Jean-Claude Guibal,4.0,-circonscription-alpes-maritimes,UMP,"37,73%"
302,Monique Mathieu,4.0,-circonscription-alpes-maritimes,FN,"19,97%"
303,Xavier Beck,4.0,-circonscription-alpes-maritimes,Divers droite,"16,25%"
304,Pascale Gérard,4.0,-circonscription-alpes-maritimes,PS,"16,11%"
305,Colette Mo,4.0,-circonscription-alpes-maritimes,PCF,"3,76%"
306,Patrick Ferruccio,4.0,-circonscription-alpes-maritimes,LCR,"0,96%"
307,Serge Carvou,4.0,-circonscription-alpes-maritimes,Le trèfle,"0,88%"
308,Lucien Bella,4.0,-circonscription-alpes-maritimes,MEI,"0,86%"
309,Claudette Van de Velde,4.0,-circonscription-alpes-maritimes,MNR,"0,63%"
310,Christian Pétard,4.0,-circonscription-alpes-maritimes,LO,"0,62%"
311,Danielle Cavaillon,4.0,-circonscription-alpes-maritimes,Divers,"0,54%"
312,Jérôme Granon,4.0,-circonscription-alpes-maritimes,Divers,"0,52%"
313,Daniel Valin,4.0,-circonscription-alpes-maritimes,Énergie Démocrate,"0,39%"
314,Michel Trimaille,4.0,-circonscription-alpes-maritimes,Rassemblement des contribuables français,"0,35%"
315,Daniel Darque,4.0,-circonscription-alpes-maritimes,Divers,"0,24%"
316,Jacqueline Bartoli,4.0,-circonscription-alpes-maritimes,"
									Initiative républicaine									","0,15%"
317,Paola Argyratos,4.0,-circonscription-alpes-maritimes,Parti fédéraliste,"0,04%"
318,Jérôme Benedetti,4.0,-circonscription-alpes-maritimes,Parti des socioprofessionels,"0,00%"
319,Christian Estrosi,5.0,-circonscription-alpes-maritimes,UMP,"45,53%"
320,Jean Thiery,5.0,-circonscription-alpes-maritimes,FN,"20,45%"
321,Paul Cuturello,5.0,-circonscription-alpes-maritimes,PS,"20,26%"
322,Jacques Tibéri,5.0,-circonscription-alpes-maritimes,PCF,"7,83%"
323,Louis Olivier,5.0,-circonscription-alpes-maritimes,MNR,"0,94%"
324,Jean-Pierre Blondel,5.0,-circonscription-alpes-maritimes,LO,"0,80%"
325,Serge Gabry,5.0,-circonscription-alpes-maritimes,Le Trèfle,"0,76%"
326,Noura Slimane,5.0,-circonscription-alpes-maritimes,Pôle républicain,"0,71%"
327,Nadia Hamecha,5.0,-circonscription-alpes-maritimes,Divers,"0,63%"
328,Catherine Sackur,5.0,-circonscription-alpes-maritimes,Les alternatifs,"0,53%"
329,Marie-Pierre Mondoloni,5.0,-circonscription-alpes-maritimes,Génération écologie,"0,50%"
330,Axel Hvidsten,5.0,-circonscription-alpes-maritimes,Mouvement écologiste indépendant,"0,40%"
331,Michèle Marchal-Morelli,5.0,-circonscription-alpes-maritimes,"
									Initiative républicaine									","0,27%"
332,Alain Lecomte,5.0,-circonscription-alpes-maritimes,Divers,"0,24%"
333,Edith-Marie Ruzziconi,5.0,-circonscription-alpes-maritimes,"
									Parti pied-noir									","0,16%"
334,Lionnel Luca,6.0,-circonscription-alpes-maritimes,UMP,"44,23%"
335,Antoine Damiani,6.0,-circonscription-alpes-maritimes,PS,"22,10%"
336,Monique Lartigue,6.0,-circonscription-alpes-maritimes,FN,"19,48%"
337,Anne-Lise Gonella,6.0,-circonscription-alpes-maritimes,PCF,"2,69%"
338,Claude Malaussene,6.0,-circonscription-alpes-maritimes,Divers droite,"2,18%"
339,Jérôme de Rocquigny,6.0,-circonscription-alpes-maritimes,Divers droite,"1,91%"
