,Candidat,Circ,Departement,Parti,Score
71,Nicole Aurigny,2.0,-circonscription-aisne,PT,"0,77%"
72,Daniel Wargnier,2.0,-circonscription-aisne,Génération Ecologie,"0,75%"
73,Marie-José Guillet,2.0,-circonscription-aisne,MNR,"0,61%"
74,Carmel Desjoyaux,2.0,-circonscription-aisne,MPF,"0,58%"
75,Bertrand Séné,2.0,-circonscription-aisne,La France en Action,"0,41%"
76,Jean-Pierre Balligand,3.0,-circonscription-aisne,PS,"41,16%"
77,Frédéric Meura,3.0,-circonscription-aisne,UMP,"36,24%"
78,Nathalie Fauvergue,3.0,-circonscription-aisne,FN,"7,48%"
79,Ginette Devaux,3.0,-circonscription-aisne,PCF,"3,59%"
80,Edwin Legris,3.0,-circonscription-aisne,MoDem,"3,42%"
81,Dimitri Severac,3.0,-circonscription-aisne,LCR,"2,16%"
82,Valérie Delattre,3.0,-circonscription-aisne,Les Verts,"1,41%"
83,Andrée Flamengt,3.0,-circonscription-aisne,CPNT,"1,16%"
84,Marc Pailler,3.0,-circonscription-aisne,LO,"1,07%"
85,Véronique Ballot,3.0,-circonscription-aisne,MPF,"0,99%"
86,Raymonde Rémy,3.0,-circonscription-aisne,MNR,"0,53%"
87,Isabelle Maillet,3.0,-circonscription-aisne,Génération Ecologie,"0,49%"
88,Monique Choain,3.0,-circonscription-aisne,La France en Action,"0,31%"
89,Brigitte Thuin-Macherez,4.0,-circonscription-aisne,UMP,"32,12%"
90,Jacques Desallangre,4.0,-circonscription-aisne,PRG,"26,17%"
91,Claire Le Flécher,4.0,-circonscription-aisne,PS,"16,24%"
92,Wallerand de Saint-Just,4.0,-circonscription-aisne,FN,"8,26%"
93,Isabelle Letrillart,4.0,-circonscription-aisne,MPF,"5,11%"
94,Yannick Sable,4.0,-circonscription-aisne,MoDem,"4,32%"
95,Dominique Natanson,4.0,-circonscription-aisne,LCR,"2,24%"
96,Vincent Bocquet,4.0,-circonscription-aisne,Les Verts,"1,93%"
97,Laetitia Voisin,4.0,-circonscription-aisne,LO,"1,46%"
98,Henri Liénaux,4.0,-circonscription-aisne,CPNT,"1,26%"
99,Philippe Enguehard,4.0,-circonscription-aisne,DIV,"0,84%"
100,Houssens Besbas,4.0,-circonscription-aisne,La France en Action,"0,05%"
101,Isabelle Vasseur,5.0,-circonscription-aisne,UMP,"37,84%"
102,Dominique Jourdain,5.0,-circonscription-aisne,PS,"20,75%"
103,Jacques Krabal,5.0,-circonscription-aisne,DVG,"17,67%"
104,Franck Briffaut,5.0,-circonscription-aisne,FN,"8,42%"
105,Renaud Bellière,5.0,-circonscription-aisne,MoDem,"4,51%"
106,Jean-Luc Allioux,5.0,-circonscription-aisne,PCF,"2,19%"
107,Brigitte Fourquet,5.0,-circonscription-aisne,LCR,"1,99%"
108,Marie-Thérèse Chambaud,5.0,-circonscription-aisne,Les Verts,"1,70%"
109,Sylvie Géret,5.0,-circonscription-aisne,LO,"1,63%"
110,Olivier Papritz,5.0,-circonscription-aisne,MPF,"1,31%"
111,Annick Deryckere,5.0,-circonscription-aisne,CPNT,"1,05%"
112,Marc-Hervé Rey,5.0,-circonscription-aisne,Mouvement Ecologiste Indépendant,"0,89%"
113,Aude Allegraud,5.0,-circonscription-aisne,La France en Action,"0,06%"
114,Pierre-André Périssol,1.0,-circonscription-allier,UMP,"40,41%"
115,Guy Chambefort,1.0,-circonscription-allier,DVG,"30,45%"
116,Delphine Mayrargue,1.0,-circonscription-allier,PS,"8,66%"
117,Jacques Cabanne,1.0,-circonscription-allier,PCF,"6,62%"
118,Danielle Demure,1.0,-circonscription-allier,MoDem,"5,54%"
119,Carla de Condé,1.0,-circonscription-allier,FN,"2,43%"
120,Gérard Matichard,1.0,-circonscription-allier,Les Verts,"1,33%"
121,Michèle Beaunieux,1.0,-circonscription-allier,LCR,"1,29%"
122,Jean-Marie Guillaumin,1.0,-circonscription-allier,Le Trèfle,"0,81%"
123,Christophe Darmangeat,1.0,-circonscription-allier,LO,"0,74%"
124,Michelle Miallet,1.0,-circonscription-allier,MPF,"0,56%"
125,Hugues Auvray,1.0,-circonscription-allier,Rassemblement des Contribuables Français,"0,45%"
126,Judith Genot,1.0,-circonscription-allier,La France en Action,"0,36%"
127,Serge Deville,1.0,-circonscription-allier,MNR,"0,32%"
128,Suzanne Corgie,1.0,-circonscription-allier,DIV,"0,01%"
129,Daniel Duglery,2.0,-circonscription-allier,UMP,"40,91%"
130,Bernard Lesterlin,2.0,-circonscription-allier,PS,"25,46%"
131,Mireille Schurch,2.0,-circonscription-allier,PCF,"19,66%"
132,Pierre-Antoine Legoutière,2.0,-circonscription-allier,MoDem,"4,26%"
133,Agnés Falcon,2.0,-circonscription-allier,FN,"2,34%"
134,Claudy Aubert-Dasse,2.0,-circonscription-allier,Les Verts,"1,43%"
135,Christian Nguyen,2.0,-circonscription-allier,LCR,"1,25%"
136,Michel Albert,2.0,-circonscription-allier,CPNT,"0,89%"
137,Véronique Dreyfus,2.0,-circonscription-allier,LO,"0,84%"
138,Michel Raynaud,2.0,-circonscription-allier,EXG,"0,79%"
139,Marie-Thérèse Nicod,2.0,-circonscription-allier,MPF,"0,75%"
140,Monique Cornet,2.0,-circonscription-allier,Mouvement Ecologiste Indépendant,"0,75%"
141,Jean-Paul Moret,2.0,-circonscription-allier,PT,"0,34%"
142,Vesna Lazarevic,2.0,-circonscription-allier,La France en Action,"0,33%"
143,Georges Vitti,2.0,-circonscription-allier,DIV,"0,00%"
144,Yves Simon,3.0,-circonscription-allier,UMP,"39,87%"
145,Jean Mallot,3.0,-circonscription-allier,PS,"23,41%"
146,Dominique Bidet,3.0,-circonscription-allier,PCF,"18,38%"
147,Claude Joly,3.0,-circonscription-allier,MoDem,"5,64%"
148,Jean-Louis Baudriller,3.0,-circonscription-allier,FN,"3,71%"
149,Marc Boyer,3.0,-circonscription-allier,MPF,"2,57%"
150,Anne-Marie Chambeau,3.0,-circonscription-allier,Les Verts,"1,59%"
151,Françoise Gaillardon,3.0,-circonscription-allier,LCR,"1,46%"
152,Bernard Lebel,3.0,-circonscription-allier,LO,"1,07%"
153,Gérard-Pierre Guillaumin,3.0,-circonscription-allier,Le Trèfle,"0,96%"
154,Véronique Deris-Targon,3.0,-circonscription-allier,Mouvement Ecologiste Indépendant,"0,73%"
155,Mireille Marnay,3.0,-circonscription-allier,La France en Action,"0,60%"
156,Charles Castanier,3.0,-circonscription-allier,DIV,"0,00%"
157,Claude Malhuret,4.0,-circonscription-allier,UMP,"40,25%"
158,Gérard Charasse,4.0,-circonscription-allier,PRG,"39,20%"
159,Sophie Bège,4.0,-circonscription-allier,MoDem,"4,98%"
160,Pascale Semet,4.0,-circonscription-allier,PCF,"4,73%"
161,Louis de Condé,4.0,-circonscription-allier,FN,"4,04%"
162,Daniel Rondepierre,4.0,-circonscription-allier,Les Verts,"2,15%"
163,Thomas Vacheron,4.0,-circonscription-allier,LCR,"1,63%"
164,Jacques Mayadoux,4.0,-circonscription-allier,MPF,"1,15%"
165,Albert Peyron,4.0,-circonscription-allier,Le Trèfle,"0,82%"
166,Nadine Picouleau,4.0,-circonscription-allier,CPNT,"0,65%"
167,Monique Roche,4.0,-circonscription-allier,LO,"0,39%"
168,Marc-Claude de Portebane,4.0,-circonscription-allier,DVD,"0,00%"
169,Louis Vitti,4.0,-circonscription-allier,DIV,"0,00%"
170,Eliane Barreille,1.0,-circonscription-alpes-de-haute-provence,UMP,"38,60%"
171,Jean-Louis Bianco,1.0,-circonscription-alpes-de-haute-provence,PS,"36,40%"
172,Joëlle Tebar,1.0,-circonscription-alpes-de-haute-provence,MoDem,"4,82%"
173,Mireille Jouzier-Berges,1.0,-circonscription-alpes-de-haute-provence,FN,"4,19%"
174,Aurore Hernandez,1.0,-circonscription-alpes-de-haute-provence,PCF,"3,41%"
175,Martine Vallon,1.0,-circonscription-alpes-de-haute-provence,Les Verts,"3,33%"
176,Venise Lafon,1.0,-circonscription-alpes-de-haute-provence,LCR,"2,24%"
177,Monique Daniel,1.0,-circonscription-alpes-de-haute-provence,CPNT,"1,87%"
178,Jean-Claude Silvy,1.0,-circonscription-alpes-de-haute-provence,MPF,"1,42%"
179,Marie-France Lorenzelli,1.0,-circonscription-alpes-de-haute-provence,Génération Ecologie,"1,04%"
180,Micheline Panisse,1.0,-circonscription-alpes-de-haute-provence,MNR,"0,68%"
181,Caroline Alonso,1.0,-circonscription-alpes-de-haute-provence,LO,"0,66%"
182,Bernard Jeanselme,1.0,-circonscription-alpes-de-haute-provence,PT,"0,43%"
183,Catherine Piechota,1.0,-circonscription-alpes-de-haute-provence,La France en Action,"0,40%"
184,Noël Chuisano,1.0,-circonscription-alpes-de-haute-provence,DVD,"0,29%"
185,Jean Milanovic,1.0,-circonscription-alpes-de-haute-provence,DIV,"0,22%"
186,Daniel Spagnou,2.0,-circonscription-alpes-de-haute-provence,UMP,"46,25%"
187,Christophe Castaner,2.0,-circonscription-alpes-de-haute-provence,PS,"28,46%"
188,Isabelle Verschueren,2.0,-circonscription-alpes-de-haute-provence,MoDem,"5,75%"
189,Jean-Claude Cauvin,2.0,-circonscription-alpes-de-haute-provence,PCF,"4,53%"
190,Mireille d'Ornano,2.0,-circonscription-alpes-de-haute-provence,FN,"4,31%"
191,Patrick Garnon,2.0,-circonscription-alpes-de-haute-provence,Les Verts,"2,85%"
192,Karine Denko,2.0,-circonscription-alpes-de-haute-provence,LCR,"2,09%"
193,Gilles Ravera,2.0,-circonscription-alpes-de-haute-provence,CPNT,"1,59%"
194,Jeannine Douzon,2.0,-circonscription-alpes-de-haute-provence,MPF,"1,08%"
195,Véronique Raphel,2.0,-circonscription-alpes-de-haute-provence,Génération Ecologie,"0,98%"
196,Xavier Dejasmin,2.0,-circonscription-alpes-de-haute-provence,La France en Action,"0,81%"
197,Michèle Chassaing,2.0,-circonscription-alpes-de-haute-provence,MNR,"0,45%"
198,Max Illy,2.0,-circonscription-alpes-de-haute-provence,LO,"0,45%"
199,Claude Senes,2.0,-circonscription-alpes-de-haute-provence,PT,"0,40%"
200,Henriette Martinez,1.0,-circonscription-hautes-alpes,UMP,"39,81%"
201,Karine Berger,1.0,-circonscription-hautes-alpes,PS,"21,54%"
202,Jean-Michel Arnaud,1.0,-circonscription-hautes-alpes,MoDem,"16,87%"
203,Jean-Claude Eyraud,1.0,-circonscription-hautes-alpes,DVG,"9,28%"
204,Marie Tarbouriech,1.0,-circonscription-hautes-alpes,Les Verts,"3,43%"
205,Martine Lelièvre,1.0,-circonscription-hautes-alpes,FN,"2,95%"
206,Patrick Faure,1.0,-circonscription-hautes-alpes,CPNT,"1,84%"
207,Marcelle Schwendemann,1.0,-circonscription-hautes-alpes,Mouvement Ecologiste Indépendant,"0,97%"
208,Colette Faure,1.0,-circonscription-hautes-alpes,MPF,"0,92%"
209,Elisabeth Thomas,1.0,-circonscription-hautes-alpes,LO,"0,83%"
210,Brigitte Krief,1.0,-circonscription-hautes-alpes,La France en Action,"0,67%"
211,Aurore Leforestier,1.0,-circonscription-hautes-alpes,MNR,"0,38%"
212,Denis Dupré,1.0,-circonscription-hautes-alpes,DIV,"0,36%"
213,Jacques Daudon,1.0,-circonscription-hautes-alpes,"
									Parti des Français progressistes									","0,15%"
214,Joël Giraud,2.0,-circonscription-hautes-alpes,PRG,"36,84%"
215,Alain Bayrou,2.0,-circonscription-hautes-alpes,UMP,"34,94%"
216,Chantal Eyméoud,2.0,-circonscription-hautes-alpes,MoDem,"14,17%"
217,Pierre Leroy,2.0,-circonscription-hautes-alpes,Les Verts,"4,06%"
218,Michel Louis Pellion,2.0,-circonscription-hautes-alpes,FN,"2,18%"
219,Christian Schuller,2.0,-circonscription-hautes-alpes,PCF,"2,02%"
220,Vincent Chaboy,2.0,-circonscription-hautes-alpes,LCR,"1,69%"
221,André Garcia,2.0,-circonscription-hautes-alpes,CPNT,"1,47%"
222,Monique Perrin,2.0,-circonscription-hautes-alpes,La France en Action,"0,77%"
223,Claude Bobin,2.0,-circonscription-hautes-alpes,MPF,"0,65%"
224,Jacques Gollion,2.0,-circonscription-hautes-alpes,Génération Ecologie,"0,49%"
225,Gérard Sauge,2.0,-circonscription-hautes-alpes,LO,"0,44%"
226,Jean-Pierre Bouteille,2.0,-circonscription-hautes-alpes,MNR,"0,27%"
227,Eric Ciotti,1.0,-circonscription-alpes-maritimes,UMP,"44,56%"
228,Patrick Allemand,1.0,-circonscription-alpes-maritimes,PS,"23,35%"
229,Jérôme Rivière,1.0,-circonscription-alpes-maritimes,DVD,"9,84%"
230,Rémy François,1.0,-circonscription-alpes-maritimes,FN,"5,87%"
231,Hervé Cael,1.0,-circonscription-alpes-maritimes,MoDem,"4,54%"
232,Robert Injey,1.0,-circonscription-alpes-maritimes,PCF,"3,15%"
233,Philippe Vardon,1.0,-circonscription-alpes-maritimes,Nissa Rebela,"2,29%"
234,Mounia Ferrière,1.0,-circonscription-alpes-maritimes,Les Verts,"1,41%"
235,Michel François,1.0,-circonscription-alpes-maritimes,Mouvement Ecologiste Indépendant,"1,20%"
236,Danielle Lisbona,1.0,-circonscription-alpes-maritimes,CNIP,"0,99%"
237,Christophe Ricerchi,1.0,-circonscription-alpes-maritimes,Communistes,"0,87%"
238,Ambre Gomez,1.0,-circonscription-alpes-maritimes,Gauche Alternative 2007,"0,79%"
239,Jean-Marc Governatori,1.0,-circonscription-alpes-maritimes,La France en Action,"0,74%"
240,Agnès Benkemoun,1.0,-circonscription-alpes-maritimes,LO,"0,42%"
241,Muriel Marland-Militello,2.0,-circonscription-alpes-maritimes,UMP,"54,28%"
242,Dominique Boy-Mottard,2.0,-circonscription-alpes-maritimes,PS,"21,25%"
243,Patrica Pellero,2.0,-circonscription-alpes-maritimes,FN,"6,59%"
244,Céline Lacroix,2.0,-circonscription-alpes-maritimes,MoDem,"5,55%"
245,Benoît Loeuillet,2.0,-circonscription-alpes-maritimes,Nissa Rebela,"2,66%"
246,Danièle Gimeno,2.0,-circonscription-alpes-maritimes,PCF,"2,01%"
247,Rachel Khan,2.0,-circonscription-alpes-maritimes,Les Verts,"1,94%"
248,Joëlle Martinaux,2.0,-circonscription-alpes-maritimes,MPF,"1,92%"
249,Fanny Tièche,2.0,-circonscription-alpes-maritimes,LCR,"1,26%"
250,Jacques Leboucher,2.0,-circonscription-alpes-maritimes,Mouvement Hommes-Animaux-Nature,"1,01%"
251,Jean-Pierre Pisoni,2.0,-circonscription-alpes-maritimes,Communistes,"0,56%"
252,Stéphane Alauzet,2.0,-circonscription-alpes-maritimes,La France en Action,"0,47%"
253,Joseph Markiel,2.0,-circonscription-alpes-maritimes,LO,"0,27%"
254,Joël Rigolat,2.0,-circonscription-alpes-maritimes,RPF,"0,24%"
255,Rudy Salles,3.0,-circonscription-alpes-maritimes,Le Nouveau Centre,"56,65%"
256,Elodie Jomat,3.0,-circonscription-alpes-maritimes,PRG,"19,15%"
257,Gilbert Pigli,3.0,-circonscription-alpes-maritimes,FN,"7,79%"
258,Adeline Mouton,3.0,-circonscription-alpes-maritimes,PCF,"3,76%"
259,Myriam Marchand,3.0,-circonscription-alpes-maritimes,Nissa rebela,"2,50%"
260,Pierre Argentieri,3.0,-circonscription-alpes-maritimes,MPF,"2,05%"
261,Rémi Gaechter,3.0,-circonscription-alpes-maritimes,Les Verts,"2,04%"
262,Bruno della Sudda,3.0,-circonscription-alpes-maritimes,Gauche Alternative 2007,"1,32%"
263,Serge Gardien,3.0,-circonscription-alpes-maritimes,Le Trèfle,"1,10%"
264,Elie Guez,3.0,-circonscription-alpes-maritimes,La France en Action,"0,91%"
265,Jean-Marie Baele,3.0,-circonscription-alpes-maritimes,MNR,"0,85%"
266,Nadia Aouassi,3.0,-circonscription-alpes-maritimes,DIV,"0,75%"
267,Laurent Bacino,3.0,-circonscription-alpes-maritimes,Communistes,"0,64%"
268,Marie-Josée Pereira,3.0,-circonscription-alpes-maritimes,LO,"0,48%"
269,Jean-Claude Guibal,4.0,-circonscription-alpes-maritimes,UMP,"59,50%"
270,Pascale Gérard,4.0,-circonscription-alpes-maritimes,PS,"13,65%"
271,Monique Mathieu,4.0,-circonscription-alpes-maritimes,FN,"8,52%"
272,Philippe Briand,4.0,-circonscription-alpes-maritimes,MoDem,"5,46%"
273,Brigitte Hourtic,4.0,-circonscription-alpes-maritimes,PCF,"4,90%"
274,Alain Hervé,4.0,-circonscription-alpes-maritimes,Les Verts,"2,36%"
275,Patrick Ferruccio,4.0,-circonscription-alpes-maritimes,LCR,"1,80%"
276,Monique Baccelli,4.0,-circonscription-alpes-maritimes,Génération Ecologie,"1,07%"
277,Nedjia Gaignaire,4.0,-circonscription-alpes-maritimes,MPF,"0,90%"
278,Laetitia Perez,4.0,-circonscription-alpes-maritimes,MNR,"0,60%"
279,René Fiorèse,4.0,-circonscription-alpes-maritimes,La France en Action,"0,48%"
280,Xavier Barillot,4.0,-circonscription-alpes-maritimes,LO,"0,44%"
281,Michèle Borghi-Gastaut,4.0,-circonscription-alpes-maritimes,MRC,"0,32%"
282,Christian Estrosi,5.0,-circonscription-alpes-maritimes,UMP,"60,08%"
283,Paul Cuturello,5.0,-circonscription-alpes-maritimes,PS,"15,78%"
284,Francis Tujague,5.0,-circonscription-alpes-maritimes,PCF,"7,30%"
285,Bruno Ligonie,5.0,-circonscription-alpes-maritimes,FN,"5,25%"
286,Karine Lambert,5.0,-circonscription-alpes-maritimes,MoDem,"3,69%"
287,Pierre-Antoine Plaquevent,5.0,-circonscription-alpes-maritimes,Nissa Rebela,"2,20%"
288,Jeannine Thiemonge,5.0,-circonscription-alpes-maritimes,Les Verts,"1,39%"
289,Pascale Gacem,5.0,-circonscription-alpes-maritimes,LCR,"1,31%"
290,Axel Hvidsten,5.0,-circonscription-alpes-maritimes,Mouvement Ecologiste Indépendant,"0,63%"
291,Serge Gabry,5.0,-circonscription-alpes-maritimes,Le Trèfle,"0,62%"
292,Rose Marie Baele,5.0,-circonscription-alpes-maritimes,MNR,"0,45%"
293,Jean-Jacques Rémond,5.0,-circonscription-alpes-maritimes,CPNT,"0,44%"
294,Danièle Bartoli,5.0,-circonscription-alpes-maritimes,LO,"0,44%"
295,Michaël Abitbol,5.0,-circonscription-alpes-maritimes,La France en Action,"0,41%"
296,Lionnel Luca,6.0,-circonscription-alpes-maritimes,UMP,"63,14%"
297,Antoine Damiani,6.0,-circonscription-alpes-maritimes,PS,"15,13%"
298,Loïc Dombreval,6.0,-circonscription-alpes-maritimes,MoDem,"6,70%"
299,Monique Lartigue,6.0,-circonscription-alpes-maritimes,FN,"6,00%"
300,Martine Nativi,6.0,-circonscription-alpes-maritimes,PCF,"2,36%"
301,Joëlle Faguer,6.0,-circonscription-alpes-maritimes,Les Verts,"2,01%"
302,Jean-Yves Ollivier,6.0,-circonscription-alpes-maritimes,Mouvement Ecologiste Indépendant,"1,56%"
303,Anne-Marie Dubois,6.0,-circonscription-alpes-maritimes,Gauche Alternative 2007,"0,79%"
304,Martine Charrac,6.0,-circonscription-alpes-maritimes,MNR,"0,65%"
305,Alain Bouilleaux,6.0,-circonscription-alpes-maritimes,LO,"0,49%"
306,Michelle Paulus,6.0,-circonscription-alpes-maritimes,Communistes,"0,46%"
307,Marie-France Brunier,6.0,-circonscription-alpes-maritimes,CPNT,"0,38%"
308,Béatrix Viard,6.0,-circonscription-alpes-maritimes,La France en Action,"0,36%"
309,Jean Leonetti,7.0,-circonscription-alpes-maritimes,UMP,"63,99%"
310,Noria Chaib,7.0,-circonscription-alpes-maritimes,PS,"9,64%"
311,Edwige Madec-Vercnocke,7.0,-circonscription-alpes-maritimes,MoDem,"7,53%"
312,Gérard Piel,7.0,-circonscription-alpes-maritimes,PCF,"6,23%"
313,Isidore Focachon,7.0,-circonscription-alpes-maritimes,FN,"5,63%"
314,Philippe Mussi,7.0,-circonscription-alpes-maritimes,Les Verts,"2,95%"
315,Carine Curtet,7.0,-circonscription-alpes-maritimes,Mouvement Ecologiste Indépendant,"1,20%"
316,Nicole Kretchmann,7.0,-circonscription-alpes-maritimes,La France en Action,"0,81%"
317,Maurice Cotte,7.0,-circonscription-alpes-maritimes,DIV,"0,68%"
318,Muguette LLorens,7.0,-circonscription-alpes-maritimes,MNR,"0,67%"
319,Christian Pétard,7.0,-circonscription-alpes-maritimes,LO,"0,66%"
320,Bernard Brochand,8.0,-circonscription-alpes-maritimes,UMP,"42,60%"
321,Henri Leroy,8.0,-circonscription-alpes-maritimes,DVD,"27,90%"
322,Apolline Crapiz,8.0,-circonscription-alpes-maritimes,PS,"11,91%"
323,Lydia Schenardi,8.0,-circonscription-alpes-maritimes,FN,"6,27%"
324,Patrick Lafargue,8.0,-circonscription-alpes-maritimes,MoDem,"5,70%"
325,Sylvie Rolly,8.0,-circonscription-alpes-maritimes,PCF,"1,54%"
326,Lionel Nusslé,8.0,-circonscription-alpes-maritimes,Les Verts,"1,40%"
327,Jean-Pierre Villon,8.0,-circonscription-alpes-maritimes,Mouvement Ecologiste Indépendant,"1,16%"
328,Henri Vincent-Viry,8.0,-circonscription-alpes-maritimes,MNR,"0,50%"
329,Henri Cyvoct,8.0,-circonscription-alpes-maritimes,LO,"0,46%"
330,Ginette Barbarin,8.0,-circonscription-alpes-maritimes,La France en Action,"0,31%"
331,Michel Brun,8.0,-circonscription-alpes-maritimes,DIV,"0,23%"
332,Michèle Tabarot,9.0,-circonscription-alpes-maritimes,UMP,"53,13%"
333,André Aschieri,9.0,-circonscription-alpes-maritimes,Les Verts,"37,50%"
334,Jean-Marc Degioanni,9.0,-circonscription-alpes-maritimes,FN,"4,53%"
335,Pascal Ducreux,9.0,-circonscription-alpes-maritimes,Le Trèfle,"1,18%"
336,François Marchive,9.0,-circonscription-alpes-maritimes,LCR,"1,17%"
337,Hugo Debonnet,9.0,-circonscription-alpes-maritimes,MPF,"0,69%"
338,Maurice Massa,9.0,-circonscription-alpes-maritimes,CPNT,"0,48%"
339,Béatrix Arrii,9.0,-circonscription-alpes-maritimes,La France en Action,"0,45%"
340,Johanne de Jouvancourt,9.0,-circonscription-alpes-maritimes,MNR,"0,43%"
341,Nadia Putzolu,9.0,-circonscription-alpes-maritimes,LO,"0,41%"
342,Pascal Terrasse,1.0,-circonscription-ardeche,PS,"43,43%"
343,Rachel Cotta,1.0,-circonscription-ardeche,UMP,"29,94%"
344,Robert Cotta,1.0,-circonscription-ardeche,PCF,"6,02%"
345,Jean-Yves Imbert,1.0,-circonscription-ardeche,MoDem,"4,96%"
