,Candidat,Circ,Departement,Parti,Score
0,Xavier Breton,1.0,-circonscription-ain,UMP,"47,24%"
1,Jean-François Debat,1.0,-circonscription-ain,PS,"31,98%"
2,Marc Pariot,1.0,-circonscription-ain,MoDem,"5,57%"
3,Marie-Lucienne Catherin,1.0,-circonscription-ain,FN,"4,06%"
4,Monique Duthu,1.0,-circonscription-ain,Les Verts,"2,75%"
5,Carole Guenard-Gerbaud,1.0,-circonscription-ain,LCR,"2,26%"
6,Jacques Fléchon,1.0,-circonscription-ain,MPF,"2,10%"
7,Pierre Avinière,1.0,-circonscription-ain,PCF,"1,54%"
8,Bernard Favre,1.0,-circonscription-ain,Mouvement Ecologiste Indépendant,"1,03%"
9,Odile Huret,1.0,-circonscription-ain,La France en Action,"0,87%"
10,Eric Lahy,1.0,-circonscription-ain,LO,"0,58%"
11,Charles de la Verpillière,2.0,-circonscription-ain,UMP,"53,30%"
12,Catherine Pidoux,2.0,-circonscription-ain,PRG,"18,17%"
13,Nicole de Lacheisserie,2.0,-circonscription-ain,FN,"6,57%"
14,Pierre Ferrarese,2.0,-circonscription-ain,MoDem,"6,34%"
15,Katia Philippe,2.0,-circonscription-ain,PCF,"3,55%"
16,Jacques Cagnac,2.0,-circonscription-ain,Les Verts,"3,53%"
17,Yves Dagand,2.0,-circonscription-ain,LCR,"2,71%"
18,Bernard Léger,2.0,-circonscription-ain,MPF,"1,53%"
19,Marie-Lise Meunier,2.0,-circonscription-ain,Mouvement Ecologiste Indépendant,"1,24%"
20,Michel Fray,2.0,-circonscription-ain,CPNT,"0,96%"
21,Guy Largeron,2.0,-circonscription-ain,LO,"0,75%"
22,Jean-Louis Séguret,2.0,-circonscription-ain,MNR,"0,75%"
23,Raoul Chavet,2.0,-circonscription-ain,PT,"0,60%"
24,Etienne Blanc,3.0,-circonscription-ain,UMP,"49,99%"
25,Françoise Rigaud,3.0,-circonscription-ain,PS,"19,01%"
26,Fabienne Faure,3.0,-circonscription-ain,MoDem,"10,95%"
27,Philippe Virard,3.0,-circonscription-ain,PCF,"4,99%"
28,Olivier Wyssa,3.0,-circonscription-ain,FN,"4,70%"
29,Christine Franquet,3.0,-circonscription-ain,Les Verts,"3,46%"
30,Luc Bailly,3.0,-circonscription-ain,LCR,"2,40%"
31,Maryse Favre,3.0,-circonscription-ain,Mouvement Ecologiste Indépendant,"1,67%"
32,Maurice Juston,3.0,-circonscription-ain,MPF,"1,17%"
33,Emilie Albert,3.0,-circonscription-ain,CPNT,"1,01%"
34,Dolorès Goutailler,3.0,-circonscription-ain,LO,"0,65%"
35,Jacques Marmorat,3.0,-circonscription-ain,La France en Action,"0,00%"
36,Michel Voisin,4.0,-circonscription-ain,UMP,"53,14%"
37,Christophe Greffet,4.0,-circonscription-ain,PS,"19,50%"
38,Pierre Cormorèche,4.0,-circonscription-ain,MoDem,"7,70%"
39,Jean-Loup de Lacheisserie,4.0,-circonscription-ain,FN,"5,57%"
40,Claude Montessuit,4.0,-circonscription-ain,Les Verts,"3,79%"
41,Catherine Vacle,4.0,-circonscription-ain,Gauche Alternative 2007,"3,36%"
42,Jacqueline Burgat,4.0,-circonscription-ain,PCF,"2,00%"
43,Hervé Le Maout,4.0,-circonscription-ain,MPF,"1,70%"
44,Christel Michaud,4.0,-circonscription-ain,Mouvement Ecologiste Indépendant,"1,16%"
45,Marie-Françoise Mandras,4.0,-circonscription-ain,CPNT,"1,13%"
46,Electre Dracos,4.0,-circonscription-ain,LO,"0,96%"
47,Gaëdic Blanchard-Douchain,1.0,-circonscription-aisne,UMP,"29,62%"
48,René Dosière,1.0,-circonscription-aisne,DVG,"25,06%"
49,Fawaz Karimet,1.0,-circonscription-aisne,PS,"20,17%"
50,Jean-Louis Roux,1.0,-circonscription-aisne,FN,"5,68%"
51,Eric Delhaye,1.0,-circonscription-aisne,MoDem,"4,50%"
52,Nicolas Trevillot,1.0,-circonscription-aisne,DVD,"2,72%"
53,Paul Henry Hansen-Catta,1.0,-circonscription-aisne,DIV,"2,59%"
54,Claudine Brunet,1.0,-circonscription-aisne,PCF,"2,11%"
55,Marie-Claude Laffiac,1.0,-circonscription-aisne,LCR,"2,01%"
56,Catherine Arribas,1.0,-circonscription-aisne,Les Verts,"1,87%"
57,Sylvie Legras,1.0,-circonscription-aisne,MPF,"1,49%"
58,Jean-Loup Pernelle,1.0,-circonscription-aisne,LO,"1,38%"
59,Louisette Bibaut,1.0,-circonscription-aisne,CPNT,"0,61%"
60,Pascal Matis,1.0,-circonscription-aisne,La France en Action,"0,19%"
61,Xavier Bertrand,2.0,-circonscription-aisne,UMP,"53,28%"
62,Odette Grzegrzulka,2.0,-circonscription-aisne,PS,"22,81%"
63,Michèle Dall'Ara,2.0,-circonscription-aisne,FN,"5,29%"
64,Jean-Luc Tournay,2.0,-circonscription-aisne,PCF,"4,86%"
65,Ahmed Bahaddou,2.0,-circonscription-aisne,MoDem,"2,88%"
66,Freddy Grzeziczak,2.0,-circonscription-aisne,MRC,"2,65%"
67,Franck Mousset,2.0,-circonscription-aisne,LCR,"1,88%"
68,Alain Betems,2.0,-circonscription-aisne,CPNT,"1,17%"
69,Nora Ahmed-Ali,2.0,-circonscription-aisne,Les Verts,"1,04%"
70,Anne Zanditenas,2.0,-circonscription-aisne,LO,"1,02%"
